SMILES	FunctionalGroups
C\C(C=O)=C/CC1C(=CCCC1(C)C)C	Carbonyl
C\C=C(/C)C(=O)OC/C=C/c1ccccc1	Ester, Carbonyl
C\C=C(/C)C(=O)OC\C=C(C)\CCC=C(C)C	Ester, Carbonyl
C\C=C(/C)C(=O)OCC=C	Ester, Carbonyl
C\C=C(/C)C(=O)OCc1ccccc1	Ester, Carbonyl
C\C=C(/C)C(=O)OCc1ccccc1	Ester, Carbonyl
C\C=C(/C)C(=O)OCCC(C)C	Ester, Carbonyl
C\C=C(/C)C(=O)OCCC(C)CCC=C(C)C	Ester, Carbonyl
C\C=C(/C)C(=O)OCCc1ccccc1	Ester, Carbonyl
C\C=C(/C)C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
C\C=C(/C)C=O	Carbonyl
C\C=C(/C)C1CCC(C)(C)O1	NO_MATCH
C\C=C(C=O)/c1ccccc1	Carbonyl
C\C=C/C(=O)C1=C(C)CCCC1(C)C	Carbonyl
C\C=C/C(=O)C1C(=CCCC1(C)C)C	Carbonyl
C\C=C/C(=O)OCC(C)C	Ester, Carbonyl
C\C=C/C(C)=O	Aldehyde, Acetyl, Carbonyl
C\C=C/C(C)C	NO_MATCH
C\C=C/CCCO	Alcohol
C\C=C\C=C1/C(=CC(=O)CC1(C)C)C	Carbonyl
C\C=C1/CC2CC1C3CCC(=O)OC23	Ester, Carbonyl
C\C1=C/CC(C)(C)\C=C\CC(=C/CC1)/C	NO_MATCH
C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1	NO_MATCH
C\C1=C/CCC2(C)OC2CCC(=C/CC1)/C	NO_MATCH
C\C1=C\CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1	NO_MATCH
C\C1=C\CCC(=C)C2CC(C)(C)C2CC1	NO_MATCH
C=CC=O	Carbonyl
C=CC1=CC2=CC=CC=C2O1	NO_MATCH
C=CC1=CSC=C1	NO_MATCH
C=Cc1ccccc1	NO_MATCH
C=Cc1ccccn1	NO_MATCH
C=Cc1cnccn1	NO_MATCH
C=Cc1occc1	NO_MATCH
C=CCC(C=O)c1ccccc1	Carbonyl
C=CCc1ccc2OCOc2c1	NO_MATCH
C=CCc1ccccn1	NO_MATCH
C=CCCC(=O)C(=C)C1CCCCC1	Carbonyl
C=CCCC(=O)C1=CCCC2(C1)CCCC2	Carbonyl
C=CCCC(=O)c1ccccc1	Carbonyl
C=CCCC=O	Carbonyl
C=CCCCCCCCC=CCC#N	Nitrile
C=CCCCCCCCC=O	Carbonyl
C=CCCCCCCCCC(=O)OCC=C	Ester, Carbonyl
C=CCCCCCCCCC=O	Carbonyl
C=CCCCCCCCCCOCCC#N	Nitrile
C=CCCCN=C=S	Isothiocyanate, Thiol, Thione, Imino
C=CCN=C=S	Isothiocyanate, Thiol, Thione, Imino
C=CCOC(=O)/C=C/C1=CC=CC=C1	Ester, Carbonyl
C=CCOC(=O)/C=C/C1=CC=CC=C1	Ester, Carbonyl
C=CCOC(=O)c1ccccc1	Ester, Carbonyl
C=CCOC(=O)c1occc1	Ester, Carbonyl
C=CCOC(=O)Cc1ccccc1	Ester, Carbonyl
C=CCOC(=O)CC1CCCCC1	Ester, Carbonyl
C=CCOC(=O)CCC1CCCCC1	Ester, Carbonyl
C=CCOC(=O)CCCC1CCCCC1	Ester, Carbonyl
C=CCOC(=O)CCCCC1CCCCC1	Ester, Carbonyl
C=CCOC(=O)CCCCCC1CCCCC1	Ester, Carbonyl
C=CCOC(=O)COc1ccccc1	Ester, Carbonyl
C=CCOC(=O)COC1CCCCC1	Ester, Carbonyl
C=CCOC1CC2CC1C3C=CCC23	NO_MATCH
C=CCOCCc1ccccc1	NO_MATCH
C=CCSCC=C	NO_MATCH
C=CCSSCC=C	NO_MATCH
C=CCSSSCC=C	NO_MATCH
C=CCSSSSCC=C	NO_MATCH
C1[C@H]2[C@@H]1C(=O)OC3=CC=CC=C23	Carbonyl
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2N	Ester, Carbonyl, Amine
C1=CN(C(=C1)C=O)CC2=CC=CO2	Carbonyl
C1=CN(C(=C1)C=O)CC2=CC=CS2	Carbonyl
C1=CN=C(C=N1)C=O	Carbonyl
C1=CSC(=C1)CC2=CC=C(S2)C=O	Carbonyl
C12C3C4C1=C5C2C3=C45	NO_MATCH
C1C(=O)OC2=CC=CC=C2O1	Carbonyl
C1C(OC(O1)CC2=CC=CC=C2)CO	Alcohol
C1CC(OC1)COC(=O)/C=C/C2=CC=CC=C2	Ester, Carbonyl
C1CC=NC1	Imino
C1CC2C(C1)C3CC2CC3CC=O	Carbonyl
C1CCC(C1)C2CCC(C2O)C3CCCC3	Alcohol
c1ccc(cc1)c2ccccc2	NO_MATCH
c1ccc(cc1)c2ccncc2	NO_MATCH
C1CCC(CC1)Cc2cnccn2	NO_MATCH
C1CCC(CC1)OCCC2=CC=CC=C2	NO_MATCH
C1CCC(CC1)SSC2CCCCC2	NO_MATCH
c1ccc2ccccc2c1	NO_MATCH
c1ccc2cnccc2c1	NO_MATCH
c1ccc2ncccc2c1	NO_MATCH
c1ccc2nccnc2c1	NO_MATCH
C1CCc2nccnc2C1	NO_MATCH
C1CCCC/C=C/CCCOC(=O)CCCC1	Ester, Carbonyl
C1CCCC/C=C\CCCOC(=O)CCCC1	Ester, Carbonyl
C1CCCC2(CCC1)CCCO2	NO_MATCH
C1CCCCC=CCCCCC(=O)OCCCC1	Ester, Carbonyl
C1CCCCC2COCC2\C=C/CCC1	NO_MATCH
C1CCCCCC(=O)OCC/C=C\CCCC1	Ester, Carbonyl
C1CCCCCC(=O)OCCCC(=O)CCCC1	Ester, Carbonyl
C1CCCCCC2COCC2CCCC1	NO_MATCH
C1CCCCCc2ncoc2CCCC1	NO_MATCH
C1CCCCCCC=CC(=O)CCCCCC1	Carbonyl
C1CCCCCCOC(=O)/C=C/CCCCC1	Ester, Carbonyl
c1ccncc1	NO_MATCH
C1CCNCC1	Amine
C1CCSC1	NO_MATCH
C1CCSSC1	NO_MATCH
C1CNc2ccccc2C1	Amine
C1CNCCN1	Amine
c1cnccn1	NO_MATCH
C1COC(C1)CCCc2ccccc2	NO_MATCH
C1COC(Cc2ccccc2)O1	NO_MATCH
C1COC(O1)/C=C/c2ccccc2	NO_MATCH
C1COC2(C1)CC3CC2C4CCCC34	NO_MATCH
C1CSCCS1	NO_MATCH
C1CSCN1CCS	Thiol, Thione, Amine
C1CSCSC1	NO_MATCH
C1OCC2Cc3ccccc3C2O1	NO_MATCH
CC(/C(=C(/C)\C(=O)C)/C)C(C)(C)C	Aldehyde, Acetyl, Tert-butyl, Carbonyl
CC(/CC(C)(O)C=C)=C\C=C	Alcohol
CC(/CC\C=C(/C)C=O)=C\C\C=C(/C)C=C	Carbonyl
CC(/CC\C=C(/C)C=O)=C\CCC(=C)C=C	Carbonyl
CC(/CCc1ccccc1)=C\C#N	Nitrile
CC(/CO)=C/CCC1(C)C2CC3C(C2)C13C	Alcohol
CC(/CO)=C\CC1CC=C(C)C1(C)C	Alcohol
CC(\CC[C@@H]1C(=C)CCCC1(C)C)=C/CCC2[C@](C)(O)CCC3C(C)(C)CCC[C@]23C	Alcohol
CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O	Alcohol
CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O	Alcohol
CC(=C)[C@@H]1C[C@H]2O[C@@]2(C)C(=O)C1	Carbonyl
CC(=C)[C@@H]1CC[C@@](C)(O)C=C1	Alcohol
CC(=C)[C@@H]1CC=C(C)[C@H](O)C1	Alcohol
CC(=C)[C@@H]1CC=C(C)C(=O)C1	Carbonyl
CC(=C)[C@@H]1CCC(=CC1)C	NO_MATCH
CC(=C)[C@@H]1CCC(=CC1=O)C	Carbonyl
CC(=C)[C@@H]1CCC2(C)OC2C1	NO_MATCH
CC(=C)[C@H]1CC=C(C)C(=O)C1	Carbonyl
CC(=C)[C@H]1CCC(=CC1)C	NO_MATCH
CC(=C)C(CC(=O)O)CC(=O)O	Carboxylic Acid, Alcohol, Carbonyl
CC(=C)C(O)C\C=C(/C)C=C	Alcohol
CC(=C)C(O)C\C=C(/C)C=C	Alcohol
CC(=C)C=O	Carbonyl
CC(=C)C1=CC(=NC=C1)C(=O)C	Aldehyde, Acetyl, Carbonyl
CC(=C)C1=CC=C(C)CC1	NO_MATCH
CC(=C)C1=NC=CC(=C1)C(=O)C	Aldehyde, Acetyl, Carbonyl
CC(=C)C1CC=C(C)C(=O)C1	Carbonyl
CC(=C)C1CC=C(C)C(C1)OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=C)C1CC=C(C)C(O)C1	Alcohol
CC(=C)C1CC=C(C)C(O)C1	Alcohol
CC(=C)C1CC2OC2(C)C(=O)C1	Carbonyl
CC(=C)C1CCC(=CC1)C	NO_MATCH
CC(=C)C1CCC(=CC1)C	NO_MATCH
CC(=C)C1CCC(=CC1)C=O	Carbonyl
CC(=C)C1CCC(=CC1)C=O	Carbonyl
CC(=C)C1CCC(=CC1)CO	Alcohol
CC(=C)C1CCC(=CC1)COC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=C)C1CCC(C)(C=C)C(C1)C(C)=C	NO_MATCH
CC(=C)C1CCC(C)(O)C(O)C1	Alcohol
CC(=C)C1CCC(C)(O)C=C1	Alcohol
CC(=C)C1CCC(C)(O)CC1	Alcohol
CC(=C)C1CCC(C)(O1)C=C	NO_MATCH
CC(=C)c1ccc(C)cc1	NO_MATCH
CC(=C)C1CCC(C1=C)(C)C(=O)C2CCCC2=O	Carbonyl
CC(=C)C1CCC(CC1)C=O	Carbonyl
CC(=C)c1cnccn1	NO_MATCH
CC(=C)CC\C=C(/C)C=C	NO_MATCH
CC(=C)CCOC(=O)C(C)(C)C	Ester, Tert-butyl, Carbonyl
CC(=C)OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
CC(=CC/C=C(/C)\CC=O)C	Carbonyl
CC(=CCC/C(=C/CNC(=O)C1CC1)/C)C	Cyclopropyl, Carbonyl, Amine
CC(=CCC/C(=C/COC(=O)/C=C/C1=CC=CC=C1)/C)C	Ester, Carbonyl
CC(=CCC/C(=C\CCC(=O)C)/C)C	Aldehyde, Acetyl, Carbonyl
CC(=CCC/C(=C\COC(=O)CC1=CC=CC=C1)/C)C	Ester, Carbonyl
CC(=CCCC(=CCC=C(C)C=C)C)C	NO_MATCH
CC(=CCCC(=CCCC(=CCCC(C)(C=C)O)C)C)C	Alcohol
CC(=CCCC(C)(C)OC(=O)C)C=C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=CCCC(C)(C=C)OC(=O)N(C)C)C	Ester, Carbonyl, Amine
CC(=CCCC1(C2CCC(C2)C1=C)C)COC(=O)CC3=CC=CC=C3	Ester, Carbonyl
CC(=CCCC1(CC1C=O)C)C	Carbonyl
CC(=CCCC1=CCC(CC1)C=NC2=CC=CC=C2C(=O)OC)C	Ester, Methoxy, Carbonyl, Imino
CC(=CCCC1=CCC[C@@H](C1)COC(=O)C)C	Ester, Aldehyde, Acetyl, Carbonyl
CC(=CCOC(=O)C=C(C)C)C	Ester, Carbonyl
CC(=O)/C=C/C1=C(C)CCCC1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)/C=C/C1=C(C)CCCC1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)/C=C/C12OC1(C)CCCC2(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)/C=C/C1C(=CCCC1(C)C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)/C=C/C1C(=CCCC1(C)C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)\C=C\c1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)\C=C\c1occc1	Aldehyde, Acetyl, Carbonyl
CC(=O)C(/C)=C/CC1CC=C(C)C1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)C(\C)=C/C1=C(C)CCCC1(C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)C(\C)=C/C1C(=CCCC1(C)C)C	Aldehyde, Acetyl, Carbonyl
CC(=O)C(\C)=C/c1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)C(=O)c1ccccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)C(=O)c1sccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)C(C)=O	Aldehyde, Acetyl, Carbonyl
CC(=O)C(CC1=CC=CC=C1)O	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)C(O)=O	Carboxylic Acid, Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)C=O	Aldehyde, Acetyl, Carbonyl
CC(=O)C1(C)CC(=O)C(C)(O1)SCc2occc2	Aldehyde, Acetyl, Carbonyl
CC(=O)C1(C)CC2(O)OC(C)(OC2(C)O1)C(C)=O	Aldehyde, Acetyl, Alcohol, Carbonyl
CC(=O)c1[nH]ccc1	Aldehyde, Acetyl, Carbonyl
CC(=O)C1=CC=CN1CC2=CC=CO2	Aldehyde, Acetyl, Carbonyl
CC(=O)C1=CCCCN1	Aldehyde, Acetyl, Carbonyl, Amine
CC(=O)C1=CCCN1	Aldehyde, Acetyl, Carbonyl, Amine
CC(=O)C1=CN(C=C1)C	Aldehyde, Acetyl, Carbonyl
CC(=O)C1=CSCCN1	Aldehyde, Acetyl, Carbonyl, Amine
CC(=O)C1=NC=CO1	Aldehyde, Acetyl, Carbonyl
CC(=O)C1=NCCC1	Aldehyde, Acetyl, Carbonyl, Imino
CC(=O)C1=NCCCC1	Aldehyde, Acetyl, Carbonyl, Imino
CC(=O)C1=NCCS1	Aldehyde, Acetyl, Carbonyl, Imino
CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O	Aldehyde, Acetyl, Nitro, Nitroso, Nitroso Ether, Tert-butyl, Carbonyl
