SMILES	FunctionalGroups
CC(C)(C)C1=CC=CC(=C1)CCC=O	Aldehyde
CC(C)(C)C1CCC(CC1)C=O	Aldehyde
CC(C)(C)c1ccc(CCC=O)cc1	Aldehyde
CC(C)(C)C1CCC(O)CC1	Alcohol
CC(C)(C)c1ccc(O)cc1	Alcohol
CC(C)(C)C1CCC(O)CC1	Alcohol
CC(C)(C)C1CCCCC1O	Alcohol
CC(C)(CC=O)S	Aldehyde
CC(C)(Cc1ccccc1)C=O	Aldehyde
CC(C)(CCC1CCCCC1)O	Alcohol
CC(C)(CO)Cc1ccccc1	Alcohol
CC(C)(COCC1=CC=CC=C1)C=O	Aldehyde
CC(C)(O)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@@H]2C1	Alcohol
CC(C)(O)C(C)(C)O	Alcohol
CC(C)(O)C=C	Alcohol
CC(C)(O)C1CCC(C)(O1)C=C	Alcohol
CC(C)(O)C1CCC(C)(O1)C=C	Alcohol
CC(C)(O)c1ccccc1	Alcohol
CC(C)(O)CC1CCC2(C)CCCC(=C)C2C1	Alcohol
CC(C)(O)Cc1ccccc1	Alcohol
CC(C)(O)CCc1ccccc1	Alcohol
CC(C)(O)CCCC(=C)C=C	Alcohol
CC(C)(O)CCCC1=CCC(CC1)C=O	Alcohol, Aldehyde
CC(C)(S)CCO	Alcohol
CC(C)/C=C(\C)/C(=O)O	CarboxylicAcid
CC(C)[C@@]12C[C@@H](O)C(C)[C@H]1C2	Alcohol
CC(C)[C@@H]1CC[C@@](C)(O)[C@H]2CCC(=C[C@@H]12)C	Alcohol
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	Alcohol
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	Alcohol
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)C(C)O	Alcohol
CC(C)[C@@H]1CC[C@](C)(O)[C@H]2CCC(=C[C@@H]12)C	Alcohol
CC(C)[C@@H]1CCC(=CC1)CCC=O	Aldehyde
CC(C)[C@]1(O)CCC(=CC1)C	Alcohol
CC(C)[C@]12CC[C@@](C)(O)[C@@H]1C2	Alcohol
CC(C)[C@H]1CC[C@@H](C)C[C@@H]1O	Alcohol
CC(C)[C@H]1CC[C@@H](C)C[C@H]1O	Alcohol
CC(C)[C@H]1CC[C@@H](C)CC1O	Alcohol
CC(C)\C=C(/C)C(O)=O	CarboxylicAcid
CC(C)\C=C(C=O)/c1ccccc1	Aldehyde
CC(C)\C=C/C=O	Aldehyde
CC(C)\C=C\C([O-])=O	CarboxylicAcid
CC(C)=C[C@@H](O)CC(=C)C=C	Alcohol
CC(C)=CC(O)=O	CarboxylicAcid
CC(C)=CC=O	Aldehyde
CC(C)=CCC(CO)C(C)=C	Alcohol
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(C)(O)C=C	Alcohol
CC(C)=CCC/C(C)=C/COC(=O)c1ccccc1N	Amine
CC(C)=CCC[C@@](C)(O)C=C	Alcohol
CC(C)=CCC[C@](C)(O)[C@@H]1CCC(=CC1)C	Alcohol
CC(C)=CCC[C@](C)(O)[C@H]1CCC(=CC1)C	Alcohol
CC(C)=CCC[C@](C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C/C=O	Aldehyde
CC(C)=CCC\C(C)=C/CCC(C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C/CCC=O	Aldehyde
CC(C)=CCC\C(C)=C/CO	Alcohol
CC(C)=CCC\C(C)=C\C(O)=O	CarboxylicAcid
CC(C)=CCC\C(C)=C\C(O)C=O	Alcohol, Aldehyde
CC(C)=CCC\C(C)=C\C=O	Aldehyde
CC(C)=CCC\C(C)=C\C=O	Aldehyde
CC(C)=CCC\C(C)=C\CC\C(C)=C\CO	Alcohol
CC(C)=CCC\C(C)=C\CC\C(C)=C\CO	Alcohol
CC(C)=CCC\C(C)=C\CCC(C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C\CCC(C)(O)C=C	Alcohol
CC(C)=CCC\C(C)=C\CO	Alcohol
CC(C)=CCC\C(C)=C\COCC=O	Aldehyde
CC(C)=CCC\C(C)=C\COCC=O	Aldehyde
CC(C)=CCCC(=C)CC=O	Aldehyde
CC(C)=CCCC(C)(O)C#C	Alcohol, TerminalAlkyne
CC(C)=CCCC(C)(O)C=C	Alcohol
CC(C)=CCCC(C)(O)C1CO1	Alcohol
CC(C)=CCCC(C)(OC(=O)c1ccccc1N)C=C	Amine
CC(C)=CCCC1=CCC(C)(CC1)C=O	Aldehyde
CC(C)=CCCC1=CCC(CC1)C=O	Aldehyde
CC(C)=CCCC1=CCCC(C)(C1)C=O	Aldehyde
CC(C)=CCCC1=CCCC(C1)C=O	Aldehyde
CC(C)=CCO	Alcohol
CC(C)=CCOC(=O)c1ccccc1O	Alcohol
CC(C)C(=CCC(C)C=O)C	Aldehyde
CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC	Aldehyde
CC(C)C(C)CCC(C)(C)O	Alcohol
CC(C)C(C)O	Alcohol
CC(C)C(C=O)c1ccccc1	Aldehyde
CC(C)C(CCC(C)O)CCC(C)O	Alcohol
CC(C)C(O)=O	CarboxylicAcid
CC(C)C/C(C)=C/CC/C(C)=C/C=O	Aldehyde
CC(C)C/C=C(/CO)C(C)C	Alcohol
CC(C)C\C=C(C=O)/C(C)C	Aldehyde
CC(C)C\C=C(C=O)/c1ccccc1	Aldehyde
CC(C)C=O	Aldehyde
CC(C)C1(O)CCC(=CC1)C	Alcohol
CC(C)C1=CC(=CC=C1)C(C)CC=O	Aldehyde
CC(C)C1=CC(=O)C(=CC=C1)O	Alcohol
CC(C)C1=CCC(C)(O)CC1	Alcohol
CC(C)C1=CCC(CC1)C(=O)O	CarboxylicAcid
CC(C)C1CC2=C(C)CC1C(C2)C=O	Aldehyde
CC(C)C1CC2C(CC1C=C2C)C=O	Aldehyde
CC(C)c1ccc(\C=C\C=O)cc1	Aldehyde
CC(C)C1CCC(=C(O)C1=O)C	Alcohol
CC(C)c1ccc(C)c(O)c1	Alcohol
CC(C)c1ccc(C)cc1O	Alcohol
CC(C)C1CCC(C)CC1O	Alcohol
CC(C)C1CCC(C)CC1O	Alcohol
CC(C)C1CCC(C)CC1OC(=O)c2ccccc2N	Amine
CC(C)c1ccc(C=O)cc1	Aldehyde
CC(C)c1ccc(CC=O)cc1	Aldehyde
CC(C)c1ccc(cc1)C(C)C=O	Aldehyde
CC(C)c1ccc(cc1)C(C)CC=O	Aldehyde
CC(C)C1CCC(CC1)C(C)O	Alcohol
CC(C)C1CCC(CC1)CO	Alcohol
CC(C)c1ccc(CCC=O)cc1	Aldehyde
CC(C)c1ccc(CO)cc1	Alcohol
CC(C)C1CCC(CO)CC1	Alcohol
CC(C)c1ccc(O)cc1	Alcohol
CC(C)c1cccc(CC=O)c1	Aldehyde
CC(C)c1ccccc1O	Alcohol
CC(C)C1SCC(=N1)C	Amine
CC(C)CC(C(=O)C)O	Alcohol
CC(C)CC(C)CCCC(C)O	Alcohol
CC(C)CC(C)O	Alcohol
CC(C)CC(O)=O	CarboxylicAcid
CC(C)CC(O)CC(C)C	Alcohol
CC(C)CC(O)Cc1ccccc1	Alcohol
CC(C)CC=O	Aldehyde
CC(C)CC1CC(C)(O)CCO1	Alcohol
CC(C)Cc1ccc(CC(C)C=O)cc1	Aldehyde
CC(C)CC1CCCC(C1)(C)O	Alcohol
CC(C)CC1NC(SC(S1)CC(C)C)CC(C)C	Amine
CC(C)CC1SC(C)C(=N1)C	Amine
CC(C)CCC(C)C(C)O	Alcohol
CC(C)CCC(O)=O	CarboxylicAcid
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CO	Alcohol
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CO	Alcohol
CC(C)CCCC(C)(C)O	Alcohol
CC(C)CCCC(C)(O)C=C	Alcohol
CC(C)CCCC(C)C(O)=C	Alcohol
CC(C)CCCC(C)CC=O	Aldehyde
CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C	Alcohol
CC(C)CCCC(C)CCO	Alcohol
CC(C)CCCC(C)CCO	Alcohol
CC(C)CCCC(C)O	Alcohol
CC(C)CCCC(O)=O	CarboxylicAcid
CC(C)CCCC1=CCC(C)(CC1)C=O	Aldehyde
CC(C)CCCCC=O	Aldehyde
CC(C)CCCCCCC=O	Aldehyde
CC(C)CCCCCCC=O	Aldehyde
CC(C)CCCCCCC=O	Aldehyde
CC(C)CCCCCCCCCCC=O	Aldehyde
CC(C)CCCCCCCCCCOC(CC(C)CCCC(C)(C)O)OCCCCCCCCCCC(C)C	Alcohol
CC(C)CCCCCO	Alcohol
CC(C)CCN	Amine
CC(C)CCN=CCC(C)C	Amine
CC(C)CCN1C=CC=C1C=O	Aldehyde
CC(C)CCO	Alcohol
CC(C)CCOC(=O)C(C)O	Alcohol
CC(C)CCOC(=O)c1ccccc1O	Alcohol
CC(C)CN	Amine
CC(C)CO	Alcohol
CC(C)COC(=O)C(C)O	Alcohol
CC(C)COC(=O)c1ccccc1N	Amine
CC(C)COC(=O)c1ccccc1O	Alcohol
CC(C)COC1=CC(=C(C=C1)C(=O)CCC2=CC=CC=N2)O	Alcohol
CC(C)N	Amine
CC(C)N=C=S	Amine
CC(C)O	Alcohol
CC(C)OC(=O)c1ccccc1N	Amine
CC(C)OC(=O)c1ccccc1O	Alcohol
CC(C)OC1=C(C=CC(=C1)C=O)O	Alcohol, Aldehyde
CC(C)OCCOC(=O)C1=CC=CC=C1O	Alcohol
CC(C/C=C(C)/CCCC(C)=C)C=O	Aldehyde
CC(C=O)C1CCC(C)(O1)C=C	Aldehyde
CC(C=O)c1ccc(C)cc1	Aldehyde
CC(C=O)c1ccccc1	Aldehyde
CC(C=O)C1CCCCC1	Aldehyde
CC(C=O)c1ccccc1	Aldehyde
CC(CC(C)(C)C)C(=C)C=O	Aldehyde
CC(CC(C)(C)C)C(C)C=O	Aldehyde
CC(CC(C)(C)S)O	Alcohol
CC(CC(C)C1=CC=CC=C1)CO	Alcohol
CC(CC\C=C(C)\CCC=C(C)C)C=O	Aldehyde
CC(CC=O)C1=CC(=CC=C1)C(=C)C	Aldehyde
CC(CC=O)C1CCC(=CC1)C	Aldehyde
CC(CC=O)c1ccccc1	Aldehyde
CC(CC=O)CC(C)(C)C	Aldehyde
CC(CC1=CC=C(C=C1)OC)C=NC2=CC=CC=C2C(=O)OC	Amine
CC(CC1=CC2=C(C=C1)OCO2)C=NC3=CC=CC=C3C(=O)OC	Amine
CC(Cc1ccc(C)cc1)C=O	Aldehyde
CC(Cc1ccc(cc1)C(C)(C)C)C=O	Aldehyde
CC(Cc1ccc2OCOc2c1)C=O	Aldehyde
CC(CCC=C(C)C)C(=C)C=O	Aldehyde
CC(CCC=C(C)C)C=O	Aldehyde
CC(CCC=C(C)C)C1(O)CCC(=CC1)C	Alcohol
CC(CCC=C(C)C)C1CCC(C=C1)(C)O	Alcohol
CC(CCC=C(C)C)CC(C)(C)O	Alcohol
CC(CCC=C(C)C)CC(O)=O	CarboxylicAcid
CC(CCC=C(C)CCC=C(C)C)CCO	Alcohol
CC(CCC=C(C)CCC=O)C=C	Aldehyde
CC(CCC=O)C1C(=CCCC1(C)C)C	Aldehyde
CC(CCc1ccccc1)C=O	Aldehyde
CC(CCc1ccccc1)CC=O	Aldehyde
CC(CCCC(C)(C)O)C=C	Alcohol
CC(CCCC(C)(C)O)CC#N	Alcohol
CC(CCCC(C)(C)O)CC=O	Alcohol, Aldehyde
CC(CCCC(C)(C)O)CC=O.[nH]1ccc2ccccc12	Alcohol, Aldehyde
CC(CCCC(C)(C)O)CC=O.Cc1c[nH]c2ccccc12	Alcohol, Aldehyde
CC(CCCC(C)C=O)CCC=C(C)C	Aldehyde
CC(CCO)C1CCC(=CC1)C	Alcohol
CC(CCO)CC(C)(C)C	Alcohol
CC(CCO)CCC=C(C)C	Alcohol
CC(CCO)CCc1ccccc1	Alcohol
CC(CCO)CCCC(C)(C)O	Alcohol
CC(CCOC(=O)c1ccccc1N)CCC=C(C)C	Amine
CC(CCOCC=O)CCC=C(C)C	Aldehyde
CC(CO)C(C)S	Alcohol
CC(CO)C1CCC(=CC1)C	Alcohol
CC(CO)c1ccccc1	Alcohol
CC(CO)C1CCCCC1	Alcohol
CC(CO)C1CCCCCCCCCCC1	Alcohol
CC(CO)CC/C=C(C)/CCC=C(C)C	Alcohol
CC(CO)CCCC(C)=C	Alcohol
CC(CO)COC1CC2CCC1(C2(C)C)C	Alcohol
CC(CS)C(C)O	Alcohol
CC(N)C(O)=O	CarboxylicAcid, Amine
CC(N)C(O)=O	CarboxylicAcid, Amine
CC(O)/C=C(C)/CCC=C(C)C	Alcohol
CC(O)/C=C/C1=C(C)CCCC1(C)C	Alcohol
CC(O)/C=C/C1C(=CCCC1(C)C)C	Alcohol
CC(O)/C=C/c1ccccc1	Alcohol
CC(O)/C=C/c1ccccc1	Alcohol
CC(O)=O	CarboxylicAcid
CC(O)C(/C)=C/C1=C(C)CCCC1(C)C	Alcohol
CC(O)C(/C)=C/CC1CC=C(C)C1(C)C	Alcohol
CC(O)C(=O)NCCO	Alcohol
CC(O)C(=O)OCc1ccccc1	Alcohol
CC(O)C(C)\C=C/C1CC=C(C)C1(C)C	Alcohol
CC(O)C(C)=O	Alcohol
CC(O)C(C)CC1C(C)CCCC1(C)C	Alcohol
CC(O)C(C)Cc1ccccc1	Alcohol
CC(O)C(C)CCC1CC=C(C)C1(C)C	Alcohol
CC(O)C(C)S	Alcohol
CC(O)C(C)SC(C)C(C)S	Alcohol
CC(O)C(N)C(O)=O	CarboxylicAcid, Amine, Alcohol
CC(O)C(O)C(O)C(O)C=O	Alcohol, Aldehyde
CC(O)C1C2CCC(C2)C1(C)C	Alcohol
CC(O)c1ccc(C)cc1	Alcohol
CC(O)C1CCCC(C)(C)C1	Alcohol
CC(O)c1ccccc1	Alcohol
CC(O)c1ccccc1	Alcohol
CC(O)CC(C)(C)c1ccccc1	Alcohol
CC(O)CC(C)CCC=C(C)C	Alcohol
CC(O)Cc1ccccc1	Alcohol
CC(O)CCC=C(C)C	Alcohol
CC(O)CCC1=C(C)CCCC1(C)C	Alcohol
CC(O)CCC1C(C)CCCC1(C)C	Alcohol
CC(O)CCc1ccccc1	Alcohol
CC(O)CN	Amine, Alcohol
CC(O)CO	Alcohol
CC/C(C)=C/CCC(C)(O)C=C	Alcohol
CC/C=C/C=C/C=O	Aldehyde
CC/C=C/C=C/CO	Alcohol
CC/C=C/C=O	Aldehyde
CC/C=C/C=O	Aldehyde
CC/C=C/CC(C=C)O	Alcohol
CC/C=C/CC(O)=O	CarboxylicAcid
CC/C=C/CC\C=C\C=O	Aldehyde
CC/C=C/CC\C=C\C=O	Aldehyde
CC/C=C/CC\C=C\CO	Alcohol
CC/C=C/CC\C=C\CO	Alcohol
CC/C=C/CC=O	Aldehyde
CC/C=C/CC=O	Aldehyde
CC/C=C/CCC=O	Aldehyde
CC/C=C/CCO	Alcohol
CC/C=C/CCO	Alcohol
CC/C=C/CCOC(=O)c1ccccc1O	Alcohol
CC/C=C/CCOCC=O	Aldehyde
CC/C=C\C/C=C\C/C=C\CCCCCCC=O	Aldehyde
CC/C=C\C/C=C\CC=O	Aldehyde
CC/C=C\C=C/C=C\C=O	Aldehyde
CC/C=C\CC(C)OC(=O)C1=CC=CC=C1O	Alcohol
CC/C=C\CCCCCCC=O	Aldehyde
CC[C@@H](C)C(=O)O	CarboxylicAcid
CC[C@@H](C)C=O	Aldehyde
CC[C@@H](C)O	Alcohol
CC[C@]1([C@@]2(CC[C@@H](C2)C1(C)C)C)O	Alcohol
CC[C@H](C)C=O	Aldehyde
CC[C@H](C)CCCO	Alcohol
CC\C(C=O)=C/c1occc1	Aldehyde
CC\C(CO)=C/CC1CC=C(C)C1(C)C	Alcohol
CC\C=C(/C)C([O-])=O	CarboxylicAcid
CC\C=C(/C)C(O)=O	CarboxylicAcid
CC\C=C(/C)C=O	Aldehyde
CC\C=C(C=O)/c1ccccc1	Aldehyde
CC\C=C/C(O)=O	CarboxylicAcid
CC\C=C/C/C=C/C=C/C=O	Aldehyde
