cas_number,new_descriptors_added
71-41-0,"['cuit', 'boise', 'chimique', 'boissons_alcoolisees', 'empyreumatique', 'boisson_fermentee', 'malte', 'frais', 'floral', 'gras']"
74-93-1,"['lactique', 'animal', 'empyreumatique', 'vegetal', 'crucifere', 'fermentaire', 'gras', 'cuit']"
75-04-7,"['chimique', 'amine']"
75-07-0,"['chimique', 'vegetal', 'vegetal_vert', 'solvant', 'gras', 'fermentaire']"
75-18-3,"['terreux', 'amine', 'frais', 'racine', 'vegetal_vert', 'plante_aromatique', 'cereale', 'alliace', 'vegetal', 'malte', 'crucifere']"
75-31-0,"['chimique', 'amine']"
75-33-2,"['animal', 'alliace', 'empyreumatique', 'legume', 'vegetal', 'poulailler', 'cuit']"
75-50-3,"['animal', 'amine', 'gras']"
76-09-5,"['cuit', 'empyreumatique', 'cereale', 'malte']"
76-22-2,"['chimique', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole']"
76-49-3,"['resineux', 'fruite', 'menthe', 'frais', 'vegetal_vert', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'medicinal', 'gras']"
76-50-6,"['chimique', 'animal', 'vegetal', 'fruite', 'pied', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole', 'urine_de_chat', 'fermentaire']"
77-53-2,"['musque', 'resineux', 'animal', 'bois', 'vegetal', 'balsamique', 'vegetal_vert']"
77-54-3,"['resineux', 'doux', 'bois', 'balsamique', 'vegetal', 'floral']"
77-70-3,"['doux', 'sucre_cuit', 'fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'gras', 'cuit']"
77-74-7,"['frais', 'vegetal_vert', 'vegetal']"
77-83-8,"['mielle', 'fruit_rouge']"
77-90-7,"['chimique', 'boissons_alcoolisees', 'vegetal', 'aldehyde', 'boisson_fermentee', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'gras', 'fermentaire']"
78-35-3,"['citronne', 'fleur_d_arbuste', 'frais']"
78-36-4,"['fruit_exotique', 'citronne', 'frais', 'fruit_noir']"
78-37-5,"['chimique', 'fleur_du_jardin', 'fleur_d_arbre', 'floral', 'mielle', 'medicinal', 'boise', 'phenole']"
78-59-1,"['vegetal_sec', 'resineux', 'chimique', 'bois', 'animal', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'phenole', 'fermentaire']"
78-69-3,"['vegetal_sec', 'bois', 'fleur_du_jardin', 'vegetal', 'fruite', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'aldehyde_frais']"
78-70-6,"['citronne', 'bois', 'vegetal', 'fruite', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'gras', 'baie', 'fruit_noir']"
78-81-9,"['lactique', 'amine', 'fermentaire']"
78-83-1,"['boise', 'chimique', 'doux', 'boissons_alcoolisees', 'alcool_de_fut', 'balsamique', 'fruite', 'boisson_fermentee', 'frais', 'floral', 'solvant', 'fermentaire']"
78-84-2,"['vegetal', 'vegetal_vert', 'aldehyde_frais', 'gras']"
78-85-3,"['frais', 'floral', 'vegetal_vert', 'fleur_du_jardin', 'vegetal']"
78-92-2,"['lactone', 'fruit_a_noyau', 'fruite']"
78-93-3,"['vegetal', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'solvant', 'phenole']"
78-96-6,['amine']
78-98-8,"['chimique', 'sucre_cuit', 'boise', 'boissons_alcoolisees', 'empyreumatique', 'alcool_de_fut', 'balsamique', 'frais', 'solvant', 'cuit']"
79-09-4,"['chimique', 'acetique', 'fermentaire']"
79-20-9,"['alcool_de_fut', 'balsamique', 'floral', 'vegetal_vert', 'boise', 'chimique', 'boissons_alcoolisees', 'vegetal', 'boisson_fermentee', 'fermentaire']"
79-31-2,"['pied', 'gras', 'fermentaire']"
79-42-5,"['empyreumatique', 'cuit']"
79-69-6,"['fleur_du_jardin', 'fruit_rouge']"
79-70-9,"['sucre_cuit', 'fleur_du_jardin', 'fruit_cuit', 'empyreumatique', 'cuit']"
79-77-6,['fleur_du_jardin']
79-78-7,"['animal', 'fleur_du_jardin', 'phenole', 'balsamique', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
79-89-0,"['animal', 'fleur_du_jardin']"
79-92-5,"['resineux', 'fruite', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'medicinal', 'gras']"
80-25-1,"['citronne', 'agrume', 'vegetal', 'fruite', 'aldehyde', 'vegetal_vert', 'aldehyde_frais', 'gras']"
80-26-2,"['citronne', 'vegetal', 'fruite', 'aldehyde', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
80-27-3,"['resineux', 'citronne', 'pin', 'fleur_du_jardin', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'phenole', 'bois', 'vegetal', 'aldehyde', 'gras']"
80-54-6,"['fleur_du_jardin', 'vegetal', 'frais', 'vegetal_vert', 'epice']"
80-56-8,"['resineux', 'chimique', 'bois', 'vegetal', 'fruite', 'aldehyde', 'menthe', 'vegetal_vert', 'medicinal', 'aldehyde_frais', 'gras', 'phenole']"
80-57-9,"['chimique', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'phenole']"
80-59-1,"['terreux', 'sucre_cuit', 'fruit_cuit', 'empyreumatique', 'legume', 'vegetal', 'cuit']"
80-62-6,['chimique']
80-71-7,"['doux', 'sucre_cuit', 'boise', 'empyreumatique', 'balsamique', 'cuit']"
81-14-1,"['musque', 'animal', 'vegetal', 'aldehyde', 'vegetal_vert']"
81-15-2,"['musque', 'vegetal_vert', 'animal', 'vegetal', 'aldehyde']"
83-34-1,"['musque', 'chimique', 'produit_petrolier']"
83-66-9,"['musque', 'vegetal_vert', 'animal', 'vegetal', 'fermentaire']"
85-91-6,"['chimique', 'boissons_alcoolisees', 'fleur_d_arbre', 'boisson_fermentee', 'mielle', 'fermentaire']"
86-26-0,"['fleur_d_arbuste', 'floral']"
87-05-8,"['fruit_sec', 'oleagineux', 'fruite', 'gras']"
87-19-4,"['chimique', 'fleur_du_jardin', 'camphre', 'vegetal', 'aldehyde', 'menthe', 'frais', 'vegetal_vert', 'medicinal', 'aldehyde_frais', 'gras', 'phenole']"
87-20-7,"['marin', 'fleur_du_jardin', 'vegetal', 'aldehyde', 'mineral', 'frais', 'vegetal_vert', 'metal', 'aldehyde_frais', 'gras']"
87-22-9,"['boise', 'doux', 'chimique', 'fleur_du_jardin', 'fleur_d_arbuste', 'mineral', 'metal', 'phenole']"
87-25-2,"['fruit_a_pepins', 'chimique', 'camphre', 'fleur_d_arbre', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'mielle', 'phenole']"
87-41-2,"['vegetal_sec', 'lactique', 'fruit_sec', 'balsamique', 'fruite', 'frais', 'vegetal_vert', 'boise', 'fruit_exotique', 'vegetal', 'oleagineux', 'gras']"
87-44-5,"['chimique', 'fruit_sec', 'phenole', 'oleagineux', 'fruite', 'floral', 'medicinal', 'gras']"
87-55-8,"['lactique', 'doux', 'sucre_cuit', 'boise', 'empyreumatique', 'balsamique', 'gras', 'cuit']"
87-91-2,"['doux', 'sucre_cuit', 'chimique', 'boissons_alcoolisees', 'empyreumatique', 'boisson_fermentee', 'floral', 'fermentaire', 'cuit']"
88-09-5,"['boise', 'chimique', 'doux', 'boissons_alcoolisees', 'alcool_de_fut', 'balsamique']"
88-14-2,"['doux', 'sucre_cuit', 'empyreumatique', 'cuit']"
88-15-3,"['alliace', 'fruit_sec', 'empyreumatique', 'legume', 'oleagineux', 'fruite', 'vegetal', 'gras']"
88-29-9,"['musque', 'vegetal_vert', 'animal', 'vegetal']"
88-41-5,"['fruit_a_pepins', 'pomme', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
88-60-8,['phenole']
88-69-7,"['soufre', 'doux', 'chimique', 'bois', 'boissons_alcoolisees', 'empyreumatique', 'fume', 'alcool_de_fut', 'balsamique', 'vegetal', 'frais']"
88-84-6,"['lactique', 'bois', 'empyreumatique', 'fume', 'vegetal', 'floral', 'phenole', 'fromage', 'fermentaire']"
89-43-0,"['fleur_du_jardin', 'fleur_d_arbre', 'fruite', 'mielle']"
89-47-4,"['animal', 'vegetal', 'pied', 'menthe', 'frais', 'vegetal_vert', 'urine_de_chat', 'fermentaire']"
89-48-5,"['vegetal_sec', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
89-71-4,"['fruit_a_pepins', 'doux', 'fleur_d_arbre', 'fruite', 'mielle']"
89-74-7,"['fleur_d_arbre', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
89-78-1,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
89-79-2,"['chimique', 'vegetal', 'fruite', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras', 'phenole']"
89-80-5,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
89-81-6,"['chimique', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'gras']"
89-82-7,"['metal', 'vegetal_vert', 'plante_aromatique', 'mineral', 'aldehyde_frais', 'phenole', 'fruit_rouge', 'baie', 'fruit_noir', 'chimique', 'vegetal', 'aldehyde', 'medicinal', 'gras']"
89-83-8,"['vegetal', 'aldehyde', 'menthe', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
89-88-3,"['bois', 'empyreumatique', 'fume', 'legume', 'vegetal', 'vegetal_vert', 'plante_aromatique', 'phenole']"
90-02-8,"['boise', 'chimique', 'camphre', 'vegetal', 'menthe', 'frais', 'vegetal_vert', 'phenole']"
90-05-1,"['chimique', 'doux', 'empyreumatique', 'fume', 'balsamique', 'viande_fumee', 'cuit']"
90-12-0,"['vegetal', 'menthe', 'frais', 'vegetal_vert', 'produit_petrolier', 'phenole', 'fermentaire']"
90-17-5,"['boise', 'doux', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'gras']"
90-42-6,"['chimique', 'fleur_du_jardin', 'vegetal', 'aldehyde', 'frais', 'floral', 'vegetal_vert', 'epice', 'plante_aromatique', 'aldehyde_frais', 'gras']"
90-87-9,"['fruit_sec', 'fleur_du_jardin', 'fruit_a_coque', 'legume', 'frais', 'vegetal_vert', 'boise', 'soufre', 'moisi', 'oleagineux', 'vegetal', 'crucifere', 'mielle', 'gras', 'fermentaire']"
91-01-0,"['vegetal', 'aldehyde', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'aldehyde_frais', 'gras']"
91-02-1,['fermentaire']
91-10-1,"['lactique', 'chimique', 'empyreumatique', 'fume', 'viande_fumee', 'floral', 'cuit']"
91-16-7,"['lactique', 'boise', 'balsamique', 'fermentaire']"
91-19-0,['amine']
91-20-3,"['boise', 'vegetal', 'bois']"
91-22-5,"['vegetal_sec', 'doux', 'fruit_sec', 'balsamique', 'fruite', 'frais', 'lactone', 'boise', 'phenole', 'soufre', 'animal', 'oleagineux', 'vegetal', 'gras', 'fermentaire']"
91-50-9,"['doux', 'fleur_du_jardin', 'fleur_d_arbre', 'fruite', 'floral', 'mielle']"
91-51-0,"['doux', 'fleur_du_jardin', 'fleur_d_arbre', 'vegetal', 'fruite', 'floral', 'vegetal_vert', 'mielle']"
91-57-6,['gras']
91-60-1,"['lactique', 'terreux', 'animal', 'fruit_sec', 'moisi', 'chimique', 'empyreumatique', 'oleagineux', 'fruite', 'fermentaire', 'gras', 'grille', 'cuit']"
91-61-2,"['musque', 'boise', 'phenole']"
91-62-3,"['vegetal_sec', 'musque', 'boise', 'chimique', 'doux', 'vegetal', 'balsamique', 'frais', 'lactone', 'produit_petrolier', 'coumarine']"
91-64-5,"['vegetal_sec', 'vegetal', 'balsamique', 'frais', 'lactone', 'boise']"
91-87-2,"['citronne', 'agrume', 'fleur_du_jardin', 'vegetal', 'fruite', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert']"
92-48-8,"['vegetal_sec', 'lactique', 'fruit_sec', 'balsamique', 'fruite', 'patisserie', 'frais', 'lactone', 'epice', 'boise', 'phenole', 'fruit_exotique', 'chimique', 'empyreumatique', 'vegetal', 'oleagineux', 'medicinal', 'gras', 'cuit']"
92-52-4,"['citronne', 'doux', 'fleur_du_jardin', 'agrume', 'fleur_d_arbre', 'fruite', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'epice', 'boise', 'phenole', 'chimique', 'vegetal', 'mielle', 'medicinal']"
92-68-2,"['chimique', 'fleur_du_jardin']"
93-04-9,"['fruit_a_pepins', 'chimique', 'fleur_d_arbre', 'fruit_a_noyau', 'fruite', 'mielle', 'produit_petrolier']"
93-08-3,"['chimique', 'fleur_d_arbre', 'fruite', 'mielle', 'produit_petrolier']"
93-15-2,"['chimique', 'fleur_du_jardin', 'vegetal', 'floral', 'medicinal', 'fermentaire']"
93-16-3,"['citronne', 'chimique', 'bois', 'fleur_du_jardin', 'agrume', 'empyreumatique', 'fume', 'vegetal', 'fruite', 'frais', 'medicinal', 'phenole']"
93-18-5,"['fruit_a_pepins', 'doux', 'chimique', 'fleur_d_arbre', 'vegetal', 'fruite', 'aldehyde', 'vegetal_vert', 'mielle', 'produit_petrolier', 'gras']"
93-19-6,"['vegetal_sec', 'terreux', 'legume', 'vegetal', 'foret', 'phenole']"
93-28-7,"['chimique', 'fleur_du_jardin', 'poivre', 'medicinal', 'phenole']"
93-29-8,"['brule', 'fleur_du_jardin', 'chimique', 'empyreumatique', 'fume', 'medicinal', 'phenole']"
93-51-6,"['sucre_cuit', 'animal', 'empyreumatique', 'torrefie', 'fume', 'balsamique', 'malte', 'cuit']"
93-53-8,"['fleur_du_jardin', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'aldehyde_frais', 'gras']"
93-54-9,"['mielle', 'boise']"
93-55-0,"['vegetal', 'aldehyde', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'fruit_rouge']"
93-58-3,"['amande_amere', 'doux', 'fruit_sec', 'fleur_d_arbre', 'fruit_a_coque', 'fruite', 'menthe', 'frais', 'vegetal_vert', 'fruit_rouge', 'vegetal', 'oleagineux', 'medicinal', 'gras']"
93-60-7,"['vegetal_sec', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
93-89-0,"['fruit_a_pepins', 'frais', 'vegetal_vert', 'plante_aromatique', 'phenole', 'fruit_rouge', 'chimique', 'camphre', 'vegetal', 'fermentaire']"
93-91-4,"['doux', 'fleur_d_arbuste', 'floral']"
93-92-5,"['fruit_sec', 'vegetal', 'oleagineux', 'fleur_d_arbuste', 'frais', 'floral', 'vegetal_vert', 'gras', 'fermentaire']"
94-02-0,"['fruit_a_pepins', 'sucre_cuit', 'fruit_sec', 'fleur_du_jardin', 'amande_amere', 'fruit_a_coque', 'fleur_d_arbuste', 'floral', 'produit_petrolier', 'fruit_rouge', 'chimique', 'fruit_cuit', 'empyreumatique', 'oleagineux', 'gras', 'cuit']"
94-13-3,"['fleur_d_arbuste', 'floral', 'phenole', 'empyreumatique', 'fume']"
94-30-4,"['fruit_a_pepins', 'vegetal_sec', 'terreux', 'legume', 'balsamique', 'frais', 'vegetal_vert', 'plante_aromatique', 'racine', 'boise', 'lactone', 'fruit_rouge', 'bois', 'vegetal', 'coumarine']"
94-46-2,"['frais', 'vegetal_vert', 'boise', 'vegetal']"
94-47-3,"['doux', 'chimique', 'vegetal', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'mielle', 'boise']"
94-48-4,"['fleur_d_arbre', 'balsamique', 'fleur_d_arbuste', 'floral', 'boise']"
94-50-8,"['boise', 'doux']"
94-59-7,"['frais', 'vegetal_vert', 'plante_aromatique', 'anise', 'vegetal']"
94-86-0,"['vegetal_sec', 'lactique', 'balsamique', 'vegetal', 'frais']"
95-15-8,"['soufre', 'frais', 'chimique']"
95-16-9,"['chimique', 'fruit_sec', 'empyreumatique', 'oleagineux', 'fruite', 'vegetal', 'gras']"
95-20-5,"['produit_petrolier', 'chimique']"
95-21-6,"['vegetal_sec', 'fruit_sec', 'fruite', 'acetique', 'floral', 'cuit', 'chimique', 'empyreumatique', 'oleagineux', 'vegetal', 'gras', 'fermentaire']"
95-41-0,"['lactique', 'vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras']"
95-48-7,"['chimique', 'animal', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'fermentaire']"
95-65-8,"['phenole', 'fume', 'empyreumatique']"
95-87-4,"['empyreumatique', 'fume', 'viande_fumee', 'produit_petrolier', 'fermentaire']"
96-04-8,"['doux', 'sucre_cuit', 'boise', 'chimique', 'boissons_alcoolisees', 'empyreumatique', 'alcool_de_fut', 'balsamique', 'fermentaire', 'gras', 'cuit']"
96-08-2,"['menthe', 'frais', 'vegetal_vert', 'vegetal']"
96-17-3,"['lactique', 'doux', 'sucre_cuit', 'fruit_sec', 'torrefie', 'alcool_de_fut', 'balsamique', 'lacte', 'frais', 'boise', 'solvant', 'cuit', 'chimique', 'boissons_alcoolisees', 'empyreumatique', 'oleagineux', 'medicinal']"
96-22-0,"['frais', 'chimique', 'solvant']"
96-26-4,"['vegetal', 'frais', 'vegetal_vert', 'plante_aromatique']"
96-48-0,"['lactique', 'doux', 'sucre_cuit', 'empyreumatique', 'fruit_a_noyau', 'lactone', 'cuit']"
96-54-8,"['empyreumatique', 'fume', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'phenole']"
97-41-6,"['chimique', 'fleur_du_jardin', 'boissons_alcoolisees', 'vegetal', 'boisson_fermentee', 'aldehyde', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'fermentaire']"
97-42-7,"['fruit_a_pepins', 'fleur_du_jardin', 'alcool_de_fut', 'balsamique', 'frais', 'floral', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'boise', 'soufre', 'chimique', 'boissons_alcoolisees', 'vegetal', 'aldehyde', 'moutarde', 'crucifere', 'gras']"
97-45-0,"['lactique', 'terreux', 'sucre_cuit', 'doux', 'boise', 'empyreumatique', 'vegetal', 'foret', 'frais', 'metal', 'vegetal_vert', 'plante_aromatique', 'mineral', 'cuit']"
97-53-0,"['chimique', 'empyreumatique', 'fume', 'poivre', 'viande_fumee', 'viande_cuite', 'medicinal', 'cuit']"
97-54-1,"['chimique', 'fleur_du_jardin', 'poivre', 'medicinal']"
97-61-0,"['lactique', 'gras', 'fermentaire']"
97-62-1,"['soufre', 'boise', 'chimique', 'boissons_alcoolisees', 'alcool_de_fut', 'legume', 'vegetal', 'balsamique', 'frais', 'medicinal', 'solvant', 'phenole']"
97-63-2,['chimique']
97-64-3,"['fruit_exotique', 'lactique', 'chimique', 'sucre_cuit', 'empyreumatique', 'frais', 'solvant', 'gras', 'cuit']"
97-85-8,"['frais', 'chimique', 'solvant']"
97-87-0,"['fruit_a_pepins', 'lactique', 'frais', 'floral', 'vegetal_vert', 'fruit_rouge', 'chimique', 'moisi', 'boissons_alcoolisees', 'vegetal', 'peponide', 'boisson_fermentee', 'fermentaire']"
97-89-2,"['frais', 'vegetal_vert', 'fleur_du_jardin', 'vegetal']"
97-95-0,"['chimique', 'frais', 'medicinal', 'solvant', 'phenole', 'fermentaire']"
97-96-1,"['chimique', 'empyreumatique', 'torrefie', 'vegetal', 'malte', 'vegetal_vert', 'solvant']"
97-99-4,"['soufre', 'doux', 'sucre_cuit', 'fruit_sec', 'empyreumatique', 'vegetal', 'oleagineux', 'fruite', 'chou', 'crucifere', 'gras', 'cuit']"
98-00-0,"['sucre_cuit', 'empyreumatique', 'fruite', 'malte', 'frais', 'fermentaire', 'medicinal', 'solvant', 'phenole', 'cereale', 'cuit']"
98-01-1,"['sucre_cuit', 'fruit_sec', 'amande_amere', 'empyreumatique', 'oleagineux', 'fruite', 'malte', 'gras', 'cereale', 'cuit']"
98-02-2,"['animal', 'fruit_sec', 'chimique', 'empyreumatique', 'fume', 'oleagineux', 'fruite', 'legumes_cuits', 'poulailler', 'phenole', 'cuit']"
98-03-3,"['doux', 'fruit_rouge', 'fruite']"
98-52-2,"['chimique', 'animal', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'medicinal', 'phenole', 'fermentaire']"
98-53-3,"['musque', 'animal', 'vegetal', 'frais', 'vegetal_vert', 'plante_aromatique', 'phenole']"
98-54-4,"['terreux', 'animal', 'boise', 'phenole', 'vegetal', 'foret']"
98-55-5,"['citronne', 'fruite', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'phenole', 'bois', 'vegetal', 'aldehyde', 'gras']"
98-85-1,"['amande_amere', 'fruit_sec', 'fleur_du_jardin', 'fruit_a_coque', 'fruite', 'menthe', 'floral', 'vegetal_vert', 'fleur_d_arbuste', 'produit_petrolier', 'phenole', 'vegetal', 'oleagineux', 'gras']"
98-86-2,"['vegetal_sec', 'amande_amere', 'fruit_sec', 'fleur_d_arbre', 'balsamique', 'fleur_d_arbuste', 'frais', 'floral', 'lactone', 'boise', 'fruit_rouge', 'oleagineux', 'vegetal', 'gras']"
98-89-5,"['lactique', 'vegetal', 'mineral', 'frais', 'metal', 'vegetal_vert', 'fermentaire']"
99-48-9,"['boise', 'chimique', 'bois', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'gras', 'anise']"
99-49-0,"['vegetal_sec', 'terreux', 'doux', 'legume', 'balsamique', 'frais', 'racine', 'vegetal_vert', 'plante_aromatique', 'lactone', 'boise', 'bois', 'vegetal', 'coumarine']"
99-50-3,"['doux', 'boise']"
99-72-9,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras', 'fermentaire']"
99-75-2,"['frais', 'fleur_d_arbre']"
99-83-2,"['citronne', 'vegetal', 'poivre', 'fruite', 'aldehyde', 'vegetal_vert', 'epice', 'aldehyde_frais', 'gras']"
99-85-4,"['citronne', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
99-86-5,"['resineux', 'citronne', 'fruite', 'frais', 'vegetal_vert', 'plante_aromatique', 'aldehyde_frais', 'phenole', 'chimique', 'bois', 'vegetal', 'aldehyde', 'gras']"
99-87-6,"['vert_pyrazique', 'citronne', 'legume', 'vegetal', 'fruite', 'vegetal_vert', 'plante_aromatique', 'gras', 'legume_vert']"
99-89-8,"['chimique', 'empyreumatique']"
99-91-2,"['fleur_d_arbuste', 'vegetal_sec', 'vegetal']"
99-93-4,"['fleur_d_arbuste', 'floral', 'boise', 'fleur_d_arbre']"
99-96-7,"['fruit_sec', 'gras', 'oleagineux', 'fruite']"
100-06-1,"['fleur_d_arbre', 'fleur_d_arbuste', 'floral', 'frais', 'boise', 'fruit_rouge']"
100-09-4,['chimique']
100-42-5,"['amande_amere', 'fruit_sec', 'boise', 'chimique', 'fruit_a_coque', 'oleagineux', 'fruite', 'gras']"
100-51-6,"['amande_amere', 'fruit_sec', 'fruit_a_coque', 'oleagineux', 'fleur_d_arbuste', 'boise', 'gras', 'fruit_rouge']"
100-52-7,"['amande_amere', 'fruit_sec', 'oleagineux', 'floral', 'gras', 'fruit_rouge']"
100-53-8,"['terreux', 'empyreumatique', 'legume', 'vegetal', 'frais', 'racine', 'vegetal_vert', 'plante_aromatique', 'crucifere']"
100-55-0,"['frais', 'vegetal_vert', 'vegetal']"
100-66-3,"['chimique', 'vegetal', 'produit_petrolier', 'frais', 'vegetal_vert', 'plante_aromatique', 'epice', 'solvant', 'anise']"
100-68-5,"['frais', 'chimique', 'empyreumatique', 'torrefie']"
100-69-6,"['frais', 'vegetal_vert', 'vegetal']"
100-71-0,"['vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'gras']"
100-84-5,"['fleur_du_jardin', 'floral']"
100-86-7,"['boise', 'chimique', 'fleur_du_jardin', 'vegetal', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'epice', 'gras']"
101-39-3,"['medicinal', 'phenole', 'chimique']"
101-41-7,"['amande_amere', 'fruit_sec', 'fruit_a_coque', 'oleagineux', 'mielle', 'gras']"
101-48-4,"['fleur_du_jardin', 'fruite', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'aldehyde_frais', 'boise', 'bois', 'moisi', 'vegetal', 'aldehyde', 'gras', 'fermentaire']"
101-49-5,"['fleur_du_jardin', 'vegetal', 'frais', 'floral', 'vegetal_vert', 'mielle']"
101-81-5,"['fruit_a_pepins', 'chimique', 'fleur_du_jardin', 'vegetal', 'fruite', 'fleur_d_arbuste', 'mineral', 'floral', 'metal', 'frais', 'vegetal_vert', 'gras']"
101-82-6,"['frais', 'vegetal_vert', 'vegetal']"
101-84-8,"['chimique', 'fleur_du_jardin', 'vegetal', 'fleur_d_arbuste', 'mineral', 'vegetal_vert', 'metal', 'frais']"
101-85-9,"['chimique', 'vegetal', 'fleur_d_arbuste', 'frais', 'vegetal_vert', 'medicinal', 'boise', 'phenole']"
101-86-0,"['vegetal', 'aldehyde', 'fleur_d_arbuste', 'vegetal_vert', 'aldehyde_frais', 'gras']"
