smiles,new_descriptors_added
O=C(O)C(O)C(O)C(=O)O,"['cooked', 'cooked sugar', 'sweet', 'empyreumatic']"
CSCCC(N)C(=O)O,"['cooked', 'empyreumatic']"
CS,"['vegetal', 'sulphur', 'dairy', 'cruciferous', 'fatty']"
CC(=O)C=O,"['balsamic', 'barrel aged alcohol', 'chemical', 'cooked', 'solvent', 'alcoholic beverages', 'empyreumatic', 'woody', 'cooked sugar', 'fresh']"
c1ccc2ccccc2c1,"['chemical', 'vegetal', 'mint', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CCCCCCCCO,"['earthy', 'balsamic', 'bush flower', 'vegetal', 'lactone', 'musty', 'oleaginous', 'dry vegetal', 'fruity', 'green vegetal', 'dried fruit', 'fresh', 'tropical fruit', 'coumarin', 'fermented', 'woody', 'citrus']"
O=C(O)C(=O)CO,"['earthy', 'vegetable', 'vegetal', 'root', 'sulphur', 'empyreumatic', 'dairy', 'cruciferous', 'fatty']"
CCCCCCCCCCCCCCCC(=O)O,['dairy']
NC(Cc1ccccc1)C(=O)O,"['malt', 'roasted', 'sweet', 'empyreumatic']"
Oc1ccccc1,['chemical']
O=C(O)C(=O)Cc1ccccc1,"['cooked', 'vegetal', 'empyreumatic', 'honeyed', 'green vegetal', 'cooked sugar', 'fresh']"
O=CCc1ccccc1,"['malt', 'garden flower', 'roasted', 'bush flower', 'vegetal', 'empyreumatic', 'honeyed', 'green vegetal', 'fresh']"
O=C(O)Cc1ccccc1,"['malt', 'roasted', 'bush flower', 'cocoa', 'vegetal', 'empyreumatic', 'dry vegetal', 'honeyed']"
NCCc1ccccc1,['amine']
CCCO,"['chemical', 'solvent', 'phenolic', 'medicinal', 'fruit with pip', 'fresh']"
CCC(=O)O,['fermented']
c1ccncc1,"['empyreumatic', 'amine']"
CC(=O)C(=O)O,"['cooked', 'cooked sugar', 'sweet', 'empyreumatic']"
CSC,"['earthy', 'vegetal', 'root', 'sulphur', 'empyreumatic', 'dairy', 'cruciferous', 'green vegetal', 'amine', 'fresh', 'alliaceous']"
C1CCSC1,"['vegetable', 'cooked', 'vegetal', 'sulphur', 'empyreumatic', 'cruciferous']"
Cc1ncsc1CCO,"['oleaginous', 'empyreumatic', 'fruity', 'dried fruit']"
C[N+](C)(C)[O-],['amine']
CN(C)C,"['fatty', 'amine', 'animal']"
COc1cc(C=O)ccc1O,"['malt', 'roasted', 'balsamic', 'cocoa', 'empyreumatic', 'dairy', 'woody']"
CC1CCC(C(C)C)C(O)C1,"['vegetal', 'chemical', 'mint', 'dry vegetal', 'fermented', 'phenolic', 'wood', 'green vegetal', 'resinous', 'fresh', 'medicinal']"
COc1cc(C(C)=O)ccc1O,"['balsamic', 'woody']"
O=C(OCc1ccccc1)c1ccccc1,"['woody', 'fatty']"
S=C=NCc1ccccc1,"['earthy', 'vegetal', 'root', 'chemical', 'sulphur', 'phenolic', 'cruciferous', 'fatty']"
CC12CCC(CC1=O)C2(C)C,"['chemical', 'vegetal', 'mint', 'green vegetal']"
CCCCCCCCCCCCCCCCO,['fatty']
CC12CCC(CC1)C(C)(C)O2,"['chemical', 'vegetal', 'mint', 'phenolic', 'green vegetal']"
Cc1ccc(O)cc1,"['chemical', 'smoked', 'empyreumatic']"
CCCCCCCCCC(=O)O,"['fermented', 'fruity', 'citrus']"
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,['empyreumatic']
O=C(c1ccccc1)c1ccccc1,"['garden flower', 'mineral', 'floral', 'bush flower', 'metal', 'sweet', 'woody']"
C=CCc1ccc(O)c(OC)c1,"['chemical', 'empyreumatic', 'medicinal', 'smoked']"
O=CCCCC=O,"['vegetal', 'chemical', 'phenolic', 'green vegetal', 'fruit with pip', 'fresh']"
CC(C)O,"['chemical', 'solvent', 'fermented', 'phenolic', 'medicinal', 'fresh']"
CCCCCCCCCCCC(=O)O,"['balsamic', 'vegetal', 'lactone', 'oleaginous', 'sweet', 'dry vegetal', 'fruity', 'woody', 'dried fruit', 'tropical fruit', 'coumarin']"
COC(=O)c1ccccc1O,"['chemical', 'vegetal', 'mint', 'green vegetal', 'medicinal', 'fresh']"
C=CCc1cc(OC)c2c(c1)OCO2,['sweet']
Oc1cccc(O)c1,"['balsamic', 'floral', 'oleaginous', 'sweet', 'dairy', 'fermented', 'fruity', 'woody', 'dried fruit', 'fatty']"
C=CCc1ccc2c(c1)OCO2,['fresh']
CC(=O)OCC(COC(C)=O)OC(C)=O,"['dairy', 'chemical', 'fresh', 'solvent']"
NCCc1ccc(O)cc1,"['empyreumatic', 'dairy', 'fermented', 'smoked', 'amine']"
NC(=O)CCC(N)C(=O)O,"['malt', 'dairy', 'roasted', 'fatty', 'empyreumatic']"
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"['dairy', 'fermented']"
OCCc1ccccc1,"['honeyed', 'bush flower']"
CCCCCC=O,"['fresh aldehydic', 'vegetal', 'animal', 'green vegetal']"
CCCCCO,"['floral', 'chemical', 'fresh', 'woody', 'alcoholic beverages', 'fermented drink', 'empyreumatic', 'phenolic', 'medicinal', 'fatty']"
CCN,"['dairy', 'fermented', 'amine']"
CCS,"['roasted', 'cooked', 'vegetal', 'sulphur', 'empyreumatic', 'alliaceous']"
CC(C)N,"['dairy', 'fermented', 'amine']"
CC(C)S,"['vegetable', 'cooked', 'vegetal', 'sulphur', 'empyreumatic']"
CC(C)(C)O,"['chemical', 'vegetal', 'solvent', 'animal', 'mint', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CC(C)(C)S,"['fruity', 'cooked', 'empyreumatic']"
CCC(C)(C)O,"['chemical', 'vegetal', 'animal', 'mint', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CC(C)(O)C(C)(C)O,"['chemical', 'fresh', 'solvent']"
CC(=O)OC1CC2CCC1(C)C2(C)C,"['vegetal', 'chemical', 'mint', 'phenolic', 'wood', 'green vegetal', 'resinous', 'medicinal']"
CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,"['floral', 'vegetal', 'animal', 'phenolic', 'wood', 'green vegetal', 'resinous']"
CCC(C)(O)CC,"['chemical', 'vegetal', 'mint', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CCOC(=O)C1OC1(C)c1ccccc1,"['red berry', 'honeyed']"
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,"['chemical', 'fermented', 'floral', 'alcoholic beverages', 'fermented drink']"
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,"['floral', 'chemical', 'stone fruit', 'alcoholic beverages', 'fermented drink', 'fermented']"
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,"['bush flower', 'fresh', 'lemony', 'citrus']"
CC1=CC(=O)CC(C)(C)C1,"['vegetal', 'chemical', 'animal', 'mint', 'dry vegetal', 'fermented', 'phenolic', 'wood', 'honeyed', 'green vegetal', 'resinous', 'fresh', 'medicinal']"
CCC(C)(O)CCCC(C)C,"['garden flower', 'fruity', 'citrus']"
C=CC(C)(O)CCC=C(C)C,"['bush flower', 'vegetal', 'green vegetal', 'fruity', 'citrus']"
CC(C)CN,"['dairy', 'fermented', 'amine']"
CC(C)CO,"['floral', 'chemical', 'solvent', 'alcoholic beverages', 'fermented drink', 'animal', 'fresh']"
CC(C)C=O,"['malt', 'roasted', 'cocoa', 'vegetal', 'fatty', 'sweet', 'empyreumatic', 'dairy', 'fermented', 'green vegetal', 'tropical fruit']"
CCC(C)O,"['floral', 'chemical', 'lactone', 'fresh', 'stone fruit', 'alcoholic beverages', 'fermented drink', 'phenolic', 'medicinal', 'fatty']"
CCC(C)=O,"['chemical', 'vegetal', 'mint', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
C=CC(C)=O,"['chemical', 'fresh', 'sulphur', 'solvent']"
COC(C)=O,"['balsamic', 'floral', 'chemical', 'barrel aged alcohol', 'alcoholic beverages', 'fermented drink', 'fermented', 'woody', 'fresh']"
CC(C)C(=O)O,"['fermented', 'fatty']"
C=C1C2CCC(C2)C1(C)C,"['vegetal', 'chemical', 'mint', 'phenolic', 'wood', 'fruity', 'green vegetal', 'resinous', 'citrus', 'fatty', 'medicinal']"
CC(=O)OC(C)(C)C1CCC(C)CC1,"['vegetal', 'phenolic', 'wood', 'citrus', 'resinous']"
CC1=CCC2CC1C2(C)C,"['vegetal', 'chemical', 'mint', 'phenolic', 'wood', 'green vegetal', 'resinous', 'medicinal']"
C=C(C)C(=O)OC,['fruit with pip']
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],"['fermented', 'animal']"
CNc1ccccc1C(=O)OC,"['chemical', 'alcoholic beverages', 'fermented drink', 'fermented', 'citrus']"
CC(C)COC(=O)c1ccccc1O,"['vegetal', 'green vegetal', 'fresh']"
CC(C)CCOC(=O)c1ccccc1O,"['mineral', 'vegetal', 'chemical', 'metal', 'spicy', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CCOC(=O)c1ccccc1N,"['vegetal', 'fresh', 'tree flower', 'honeyed', 'green vegetal', 'fruit with pip', 'citrus']"
O=C1OCc2ccccc21,"['balsamic', 'floral', 'vegetal', 'oleaginous', 'dry vegetal', 'fruity', 'dried fruit', 'fatty', 'tropical fruit', 'fresh', 'woody']"
CCC(CC)C(=O)O,"['oleaginous', 'fermented', 'dried fruit', 'fatty']"
Cc1ccc(C(C)(C)C)c(O)c1,"['phenolic', 'smoked', 'empyreumatic']"
CC(C)c1ccccc1O,"['chemical', 'empyreumatic', 'smoked', 'fresh']"
CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,['floral']
CC(=O)c1ccc(C)cc1C,"['balsamic', 'vegetal', 'lactone', 'dry vegetal', 'fresh']"
CC1=CC(=O)C(C(C)C)CC1,"['chemical', 'vegetal', 'mint', 'phenolic', 'green vegetal']"
Cc1ccc(C(C)C)c(O)c1,"['chemical', 'vegetal', 'mint', 'green vegetal', 'fresh']"
O=Cc1ccccc1O,"['chemical', 'woody', 'sweet']"
Cc1cccc2ccccc12,"['chemical', 'vegetal', 'mint', 'fermented', 'phenolic', 'green vegetal', 'fresh']"
COc1cccc(OC)c1O,"['floral', 'chemical', 'empyreumatic', 'smoked']"
COc1ccccc1OC,"['balsamic', 'oleaginous', 'dairy', 'fermented', 'fruity', 'woody', 'dried fruit', 'fatty']"
c1ccc2ncccc2c1,"['vegetal', 'dry vegetal', 'chemical', 'phenolic', 'fermented']"
Cc1ccc2ccccc2c1,['fatty']
Sc1ccc2ccccc2c1,"['earthy', 'cooked', 'musty', 'empyreumatic', 'dairy', 'fermented', 'fatty']"
Cc1ccc2ncccc2c1,"['vegetal', 'dry vegetal', 'phenolic']"
Cc1ccc2oc(=O)ccc2c1,"['balsamic', 'vegetal', 'chemical', 'lactone', 'oleaginous', 'dairy', 'dry vegetal', 'fruity', 'medicinal', 'dried fruit', 'fatty', 'tropical fruit', 'fresh', 'spicy', 'phenolic', 'woody']"
c1ccc(-c2ccccc2)cc1,"['garden flower', 'mineral', 'floral', 'bush flower', 'vegetal', 'metal', 'green vegetal', 'fresh']"
COc1ccc2ccccc2c1,"['fruity', 'citrus']"
CC(=O)c1ccc2ccccc2c1,"['tree flower', 'honeyed', 'fruity', 'citrus']"
C=CCc1ccc(OC)c(OC)c1,"['chemical', 'vegetal', 'woody', 'dry vegetal', 'fermented', 'medicinal']"
CCOc1ccc2ccccc2c1,"['fruit with pip', 'citrus']"
CC(C)Cc1ccc2ccccc2n1,"['vegetal', 'dry vegetal', 'phenolic']"
C=CCc1ccc(OC(C)=O)c(OC)c1,"['chemical', 'phenolic', 'medicinal']"
COc1cc(C)ccc1O,"['balsamic', 'chemical', 'animal', 'empyreumatic', 'smoked']"
CC(C=O)c1ccccc1,"['garden flower', 'vegetal', 'sweet', 'honeyed', 'green vegetal']"
CCC(O)c1ccccc1,"['bush flower', 'woody']"
CCC(=O)c1ccccc1,"['dry vegetal', 'red berry', 'vegetal', 'cherry']"
COC(=O)c1cccnc1,"['vegetal', 'dry vegetal']"
CCOC(=O)c1ccccc1,"['red berry', 'chemical', 'cherry', 'fermented', 'phenolic', 'fruit with pip']"
CC(=O)CC(=O)c1ccccc1,['floral']
O=C(Oc1ccccc1)c1ccccc1,"['mineral', 'vegetal', 'metal', 'sweet', 'green vegetal', 'woody', 'fresh']"
CCOC(=O)CC(=O)c1ccccc1,"['red berry', 'floral', 'cherry']"
CCCOC(=O)c1ccc(O)cc1,"['phenolic', 'floral', 'smoked', 'empyreumatic']"
CC(C)CCOC(=O)c1ccccc1,"['vegetal', 'green vegetal', 'woody', 'fresh']"
O=C(OCCc1ccccc1)c1ccccc1,"['honeyed', 'bush flower', 'woody', 'sweet']"
c1ccc2scnc2c1,"['roasted', 'vegetal', 'oleaginous', 'empyreumatic', 'fruity', 'dried fruit', 'fatty']"
Cc1nc2ccccc2o1,"['balsamic', 'cooked', 'vegetal', 'empyreumatic', 'dry vegetal', 'woody']"
Cc1ccc(C)c(O)c1,"['smoked', 'empyreumatic']"
CCC(C)C=O,"['chemical', 'vegetal', 'sweet', 'empyreumatic', 'oleaginous', 'green vegetal', 'medicinal', 'dried fruit', 'roasted', 'solvent']"
CCC(=O)CC,"['cooked', 'chemical', 'solvent', 'sweet', 'empyreumatic', 'dairy', 'fermented', 'cooked sugar', 'fresh']"
O=C1CCCO1,"['cooked', 'sweet', 'empyreumatic', 'dairy', 'oleaginous', 'fruity', 'cooked sugar', 'dried fruit']"
Cn1cccc1,"['phenolic', 'smoked', 'empyreumatic']"
C=C(C)C1CC=C(C)C(OC(C)=O)C1,"['balsamic', 'barrel aged alcohol', 'chemical', 'vegetal', 'alcoholic beverages', 'green vegetal', 'woody', 'fruit with pip', 'fresh']"
CCOC(=O)C(C)C,"['balsamic', 'barrel aged alcohol', 'chemical', 'solvent', 'alcoholic beverages', 'phenolic', 'woody', 'fruit with pip', 'fresh', 'medicinal']"
CCOC(=O)C(C)O,"['balsamic', 'barrel aged alcohol', 'chemical', 'fatty', 'solvent', 'alcoholic beverages', 'dairy', 'woody', 'fresh']"
CC(C)COC(=O)C(C)C,"['floral', 'chemical', 'solvent', 'alcoholic beverages', 'fermented drink', 'fermented', 'fruit with pip', 'fresh']"
CCCCOC(=O)C(C)C,"['vegetal', 'fresh', 'peponide', 'green vegetal', 'dairy', 'fermented', 'citrus', 'fruit with pip']"
CCC(CC)CO,"['chemical', 'fresh', 'phenolic', 'medicinal', 'fatty']"
CCC(C=O)CC,"['malt', 'roasted', 'cooked', 'chemical', 'vegetal', 'solvent', 'empyreumatic', 'green vegetal', 'cooked sugar']"
OCC1CCCO1,"['cooked', 'chemical', 'vegetal', 'fresh', 'sweet', 'empyreumatic', 'cooked sugar', 'fatty']"
O=Cc1ccco1,"['cooked', 'cooked sugar', 'empyreumatic']"
SCc1ccco1,"['smoked', 'vegetable', 'cooked', 'vegetal', 'sulphur', 'sweet', 'empyreumatic', 'phenolic', 'cooked sugar']"
O=Cc1cccs1,"['balsamic', 'vegetal', 'lactone', 'fresh', 'tropical fruit', 'oleaginous', 'sweet', 'dry vegetal', 'fruity', 'woody', 'dried fruit', 'fatty', 'coumarin']"
CC(C)(C)C1CCC(O)CC1,"['chemical', 'vegetal', 'animal', 'mint', 'fermented', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CC(C)(C)C1CCC(=O)CC1,"['chemical', 'vegetal', 'animal', 'mint', 'phenolic', 'green vegetal', 'medicinal', 'fresh']"
CC(C)(C)c1ccc(O)cc1,"['smoked', 'animal', 'empyreumatic']"
CC(O)c1ccccc1,"['garden flower', 'red berry', 'bush flower', 'chemical', 'vegetal', 'mint', 'phenolic', 'fruity', 'honeyed', 'green vegetal']"
CC(=O)c1ccccc1,"['red berry', 'balsamic', 'vegetal', 'lactone', 'fatty', 'cherry', 'oleaginous', 'dry vegetal', 'fruity', 'woody', 'dried fruit', 'fresh']"
O=C(O)C1CCCCC1,"['dairy', 'mineral', 'fermented', 'metal']"
C=C(C)C1CC=C(C)C(O)C1,"['vegetal', 'chemical', 'fresh', 'green vegetal']"
COC(=O)c1ccc(C)cc1,['fresh']
CC1=CCC(C(C)C)C=C1,"['chemical', 'vegetal', 'green vegetal', 'fruity', 'phenolic', 'citrus']"
CC1=CCC(C(C)C)=CC1,"['fruity', 'citrus', 'fatty']"
CC1=CC=C(C(C)C)CC1,"['chemical', 'vegetal', 'mint', 'phenolic', 'fruity', 'green vegetal', 'citrus']"
Cc1ccc(C(C)C)cc1,"['fruity', 'citrus']"
CC(C)c1ccc(O)cc1,['chemical']
CC(=O)c1ccc(O)cc1,"['dry vegetal', 'vegetal']"
COc1ccc(C(C)=O)cc1,"['red berry', 'vegetal', 'cherry', 'dry vegetal', 'fruity', 'woody', 'fresh']"
COc1ccc(C(=O)O)cc1,"['red berry', 'balsamic', 'chemical', 'cherry', 'fruity', 'woody']"
C=Cc1ccccc1,"['woody', 'sulphur']"
SCc1ccccc1,"['earthy', 'roasted', 'root', 'vegetal', 'sulphur', 'empyreumatic', 'cruciferous']"
COc1ccccc1,"['chemical', 'fresh', 'solvent']"
CSc1ccccc1,"['chemical', 'cooked', 'fresh', 'empyreumatic']"
CCc1ccccn1,"['fresh aldehydic', 'vegetal', 'aldehydic', 'fatty', 'empyreumatic', 'phenolic', 'green vegetal', 'smoked', 'amine', 'fresh']"
COc1cccc(C)c1,"['fruity', 'dried fruit', 'fatty', 'oleaginous']"
CC(C)(O)Cc1ccccc1,"['garden flower', 'bush flower', 'vegetal', 'fatty', 'green vegetal']"
COC(=O)Cc1ccccc1,['honeyed']
c1ccc(CC2OCCO2)cc1,"['garden flower', 'floral', 'vegetal', 'honeyed', 'green vegetal', 'fresh']"
c1ccc(Cc2ccccc2)cc1,"['garden flower', 'mineral', 'floral', 'bush flower', 'vegetal', 'metal', 'fresh', 'fruity', 'green vegetal', 'citrus']"
c1ccc(Oc2ccccc2)cc1,"['garden flower', 'mineral', 'vegetal', 'metal', 'green vegetal', 'fresh']"
CCOC(=O)Cc1ccccc1,"['malt', 'roasted', 'bush flower', 'empyreumatic', 'honeyed', 'woody', 'fresh']"
O=C(Cc1ccccc1)Cc1ccccc1,"['red berry', 'bush flower', 'cherry', 'honeyed']"
COc1ccc(COC(=O)Cc2ccccc2)cc1,"['floral', 'bush flower', 'sweet', 'honeyed', 'fresh']"
CC(C)CCOC(=O)Cc1ccccc1,"['malt', 'roasted', 'bush flower', 'empyreumatic', 'honeyed', 'woody']"
O=C(Cc1ccccc1)OCCc1ccccc1,"['chemical', 'bush flower', 'woody', 'vegetal', 'spicy', 'phenolic', 'honeyed', 'green vegetal', 'medicinal', 'fresh']"
CCCN(CCC)CCC,"['dairy', 'fermented', 'amine']"
CC(C)(O)CCc1ccccc1,"['garden flower', 'bush flower', 'vegetal', 'green vegetal']"
CC(=O)OC(C)(C)CCc1ccccc1,"['vegetal', 'bush flower', 'green vegetal', 'woody']"
CCCCC(CC)COC(C)=O,['red berry']
COC(=O)CCc1ccccc1,"['chemical', 'woody', 'alcoholic beverages', 'fermented drink', 'fermented', 'honeyed', 'phenolic', 'medicinal']"
CC(C)C(=O)OCc1ccccc1,"['bush flower', 'fatty']"
CCCC(=O)OCc1ccccc1,"['bush flower', 'lactone', 'stone fruit', 'fruit with pip']"
CC(C)CC(=O)OCc1ccccc1,"['floral', 'vegetal', 'dairy', 'dry vegetal', 'fermented', 'fruit with pip', 'tropical fruit']"
CC(=O)OCCc1ccccc1,"['malt', 'roasted', 'bush flower', 'empyreumatic', 'honeyed', 'woody']"
CC(C)C(=O)OCCc1ccccc1,"['vegetal', 'bush flower', 'lactone', 'stone fruit', 'sweet', 'dry vegetal', 'honeyed']"
c1ccc(COCc2ccccc2)cc1,"['red berry', 'bush flower', 'floral', 'musty', 'cherry', 'fermented', 'woody']"
CCCC(=O)OCCc1ccccc1,"['red berry', 'vegetal', 'bush flower', 'fermented', 'green vegetal', 'fresh']"
CC(C)C(=O)OCCCc1ccccc1,"['lactone', 'stone fruit', 'honeyed', 'woody']"
Cc1ccc(OC(=O)C(C)C)cc1,"['vegetal', 'garden flower', 'fresh', 'green vegetal']"
COc1ccc(COC(C)=O)cc1,"['red berry', 'vegetal', 'lactone', 'stone fruit', 'cherry', 'dry vegetal', 'woody', 'fresh']"
CCCc1ccc(OC)cc1,['fresh']
CCCCC1CCC(=O)O1,"['balsamic', 'vegetal', 'lactone', 'oleaginous', 'dry vegetal', 'fruity', 'green vegetal', 'dried fruit', 'tropical fruit', 'fresh', 'woody']"
O=CCCc1ccccc1,"['garden flower', 'vegetal', 'peponide', 'sweet', 'fruity', 'green vegetal', 'woody', 'fatty']"
O=COCc1ccccc1,"['dry vegetal', 'red berry', 'vegetal', 'cherry', 'sweet']"
O=COCCc1ccccc1,"['garden flower', 'vegetal', 'bush flower', 'green vegetal', 'fresh']"
CCCCC(CC)CO,"['fruity', 'bush flower', 'citrus', 'fatty']"
Cc1ccc(C=O)cc1,"['red berry', 'cherry']"
CCc1ccc(C)nc1,"['vegetable', 'vegetal', 'oleaginous', 'empyreumatic', 'fruity', 'green vegetal', 'dried fruit', 'fresh']"
COc1ccc(C)cc1,"['vegetal', 'fresh', 'animal', 'oleaginous', 'fruity', 'green vegetal', 'dried fruit', 'fatty']"
CC(C)COC(=O)CCc1ccco1,"['balsamic', 'chemical', 'barrel aged alcohol', 'sweet', 'fermented drink', 'alcoholic beverages', 'fermented', 'tropical fruit']"
COc1ccc(CO)cc1,"['garden flower', 'red berry', 'vegetal', 'cherry', 'dairy', 'dry vegetal', 'woody', 'fresh']"
CCCC1CCC(=O)O1,"['balsamic', 'floral', 'vegetal', 'oleaginous', 'dairy', 'empyreumatic', 'dry vegetal', 'cooked sugar', 'dried fruit', 'tropical fruit', 'fresh', 'cooked', 'woody']"
CCOC(=O)CC,"['balsamic', 'floral', 'chemical', 'barrel aged alcohol', 'solvent', 'alcoholic beverages', 'fermented drink', 'woody', 'fruit with pip', 'tropical fruit', 'fresh']"
CCC(C)CC(=O)O,"['dairy', 'vegetal', 'fermented', 'fresh', 'green vegetal']"
COC(=O)CC(C)=O,"['floral', 'chemical', 'vegetal', 'sweet', 'fermented drink', 'alcoholic beverages', 'fermented', 'green vegetal', 'fruit with pip', 'citrus']"
CCC(C)OC(C)=O,"['chemical', 'fruit with pip', 'tropical fruit', 'fresh']"
CCOC(=O)CC(=O)OCC,"['vegetal', 'fruit with pip', 'fresh', 'green vegetal']"
CCCC(=O)OCC,"['balsamic', 'barrel aged alcohol', 'chemical', 'fresh', 'fatty', 'solvent', 'alcoholic beverages', 'sweet', 'dairy', 'woody', 'tropical fruit']"
CCOC(C)OCC,"['chemical', 'vegetal', 'fatty', 'solvent', 'oleaginous', 'phenolic', 'green vegetal', 'medicinal', 'dried fruit', 'fresh']"
O=C1CCCCCN1,['amine']
CCCOC(=O)CCC,"['chemical', 'lactone', 'stone fruit', 'animal', 'solvent', 'tropical fruit', 'fresh']"
Cc1ccc(O)c(C)c1,"['smoked', 'empyreumatic']"
CCC(=O)OCCC(C)C,"['vegetal', 'lactone', 'stone fruit', 'green vegetal', 'fruit with pip']"
CCCCCC(=O)OCC(C)C,"['floral', 'chemical', 'lactone', 'fresh', 'stone fruit', 'vegetal', 'alcoholic beverages', 'fermented drink', 'fermented', 'green vegetal', 'fruit with pip']"
CC(C)=CCCC(C)CCOC=O,"['vegetable', 'fresh aldehydic', 'bush flower', 'vegetal', 'fresh', 'aldehydic', 'fatty', 'stone fruit', 'lactone', 'green vegetal', 'cucurbitacea', 'lemony', 'citrus']"
C=C(C)CCCC(C)CCOC(=O)CC,"['garden flower', 'bush flower']"
CCCOC(=O)CCCCC(=O)OCCC,"['chemical', 'phenolic', 'medicinal', 'fresh']"
CC(C)CCCC(C)CCO,"['bush flower', 'vegetal', 'fresh', 'animal', 'fermented', 'phenolic', 'fruity', 'green vegetal', 'citrus', 'fatty']"
CC(C)=CCCC(C)CCO,"['garden flower', 'bush flower', 'vegetal', 'green vegetal', 'citrus']"
CCCC(=O)OCCC(C)C,"['vegetal', 'lactone', 'fresh', 'stone fruit', 'green vegetal', 'fruit with pip', 'tropical fruit']"
CCCCCCC(=O)OCC,"['balsamic', 'floral', 'chemical', 'barrel aged alcohol', 'fresh', 'vegetal', 'alcoholic beverages', 'fermented drink', 'fermented', 'green vegetal', 'woody', 'tropical fruit']"
CCCCCCCC(=O)OCC,"['floral', 'chemical', 'lactone', 'stone fruit', 'fermented drink', 'alcoholic beverages', 'fermented', 'fruit with pip', 'tropical fruit']"
CCCCCCCCCCCC(=O)OCC,"['vegetal', 'aldehydic', 'green vegetal']"
