smiles,new_descriptors_added
CCC=O,"['roasted', 'solvent', 'green vegetal', 'oleaginous', 'fermented', 'fruity', 'empyreumatic', 'floral', 'vegetal', 'dried fruit', 'fermented drink', 'chemical', 'balsamic', 'fruit with pip', 'fresh', 'alcoholic beverages', 'phenolic', 'fatty', 'barrel aged alcohol', 'malt', 'woody', 'sweet', 'medicinal']"
CSCCC(=O)O,"['fermented', 'empyreumatic', 'dairy', 'vegetal', 'green vegetal', 'fresh', 'malt']"
CC(O)C(=O)O,"['dairy', 'fatty']"
CC(=O)C(C)=O,"['empyreumatic', 'cooked', 'dairy', 'fatty', 'cooked sugar']"
O=C1CCc2ccccc2O1,"['dairy', 'oleaginous', 'lactone', 'fruity', 'dried fruit', 'vegetal', 'chemical', 'dry vegetal', 'fresh', 'phenolic', 'fatty', 'tropical fruit', 'woody', 'medicinal']"
O=C(CO)CO,"['vegetal', 'green vegetal', 'fresh', 'aromatic plant']"
CCO,"['chemical', 'phenolic', 'solvent', 'fresh']"
c1ccc2[nH]ccc2c1,"['fermented', 'dairy']"
O=C(O)C(O)C(O)C(=O)O,"['sweet', 'empyreumatic', 'cooked', 'cooked sugar']"
CS,"['cruciferous', 'dairy', 'vegetal', 'fatty', 'sulphur']"
CC(=O)C=O,"['empyreumatic', 'cooked', 'chemical', 'balsamic', 'solvent', 'fresh', 'alcoholic beverages', 'barrel aged alcohol', 'woody', 'cooked sugar']"
c1ccc2ccccc2c1,"['vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'medicinal']"
CCCCCCCCO,"['green vegetal', 'bush flower', 'earthy', 'oleaginous', 'lactone', 'fermented', 'fruity', 'musty', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody']"
O=C(O)C(=O)CO,"['vegetable', 'root', 'empyreumatic', 'cruciferous', 'dairy', 'vegetal', 'fatty', 'sulphur', 'earthy']"
CCCCCCCCCCCCCCCC(=O)O,['dairy']
NC(Cc1ccccc1)C(=O)O,"['empyreumatic', 'dairy', 'roasted', 'malt', 'milky', 'sweet']"
Oc1ccccc1,['chemical']
O=C(O)C(=O)Cc1ccccc1,"['oleaginous', 'empyreumatic', 'fruity', 'cooked', 'nutty', 'vegetal', 'dried fruit', 'honeyed', 'bitter almond', 'green vegetal', 'fresh', 'fatty', 'cooked sugar']"
O=CCc1ccccc1,"['empyreumatic', 'dairy', 'vegetal', 'roasted', 'honeyed', 'green vegetal', 'fresh', 'bush flower', 'garden flower', 'malt', 'milky']"
O=C(O)Cc1ccccc1,"['empyreumatic', 'dairy', 'vegetal', 'cocoa', 'roasted', 'honeyed', 'dry vegetal', 'bush flower', 'malt', 'milky']"
CCCO,"['chemical', 'phenolic', 'fruit with pip', 'solvent', 'fresh', 'medicinal']"
CCC(=O)O,['fermented']
c1ccncc1,['empyreumatic']
CC(=O)C(=O)O,"['sweet', 'empyreumatic', 'cooked', 'cooked sugar']"
CSC,"['root', 'empyreumatic', 'cruciferous', 'dairy', 'vegetal', 'alliaceous', 'green vegetal', 'fresh', 'sulphur', 'earthy']"
C1CCSC1,"['vegetable', 'empyreumatic', 'cruciferous', 'vegetal', 'sulphur']"
Cc1ncsc1CCO,"['empyreumatic', 'fruity', 'dried fruit', 'oleaginous']"
CN(C)C,"['animal', 'fatty']"
COc1cc(C=O)ccc1O,"['empyreumatic', 'dairy', 'cocoa', 'roasted', 'balsamic', 'malt', 'milky', 'woody']"
CC1CCC(C(C)C)C(O)C1,"['wood', 'fermented', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'dry vegetal', 'resinous', 'medicinal']"
COc1cc(C(C)=O)ccc1O,"['balsamic', 'woody']"
O=C(OCc1ccccc1)c1ccccc1,"['fatty', 'woody']"
S=C=NCc1ccccc1,"['sulphur', 'cruciferous', 'vegetal', 'chemical', 'phenolic', 'fatty', 'root', 'earthy']"
CC12CCC(CC1=O)C2(C)C,"['vegetal', 'chemical', 'green vegetal', 'aromatic plant']"
CCCCCCCCCCCCCCCCO,['fatty']
CC12CCC(CC1)C(C)(C)O2,"['vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal']"
Cc1ccc(O)cc1,"['chemical', 'empyreumatic', 'smoked']"
CCCCCCCCCC(=O)O,"['fermented', 'fruity']"
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,['empyreumatic']
O=C(c1ccccc1)c1ccccc1,"['floral', 'mineral', 'metal', 'bush flower', 'garden flower', 'woody', 'sweet']"
C=CCc1ccc(O)c(OC)c1,"['empyreumatic', 'chemical', 'smoked', 'medicinal']"
O=CCCCC=O,"['vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'fruit with pip']"
CC(C)O,"['chemical', 'phenolic', 'solvent', 'fresh', 'fermented', 'medicinal']"
CCCCCCCCCCCC(=O)O,"['oleaginous', 'fruity', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'dry vegetal', 'tropical fruit', 'woody', 'sweet', 'lactone']"
COC(=O)c1ccccc1O,"['vegetal', 'chemical', 'green vegetal', 'fresh', 'aromatic plant', 'medicinal']"
C=CCc1cc(OC)c2c(c1)OCO2,['sweet']
Oc1cccc(O)c1,"['oleaginous', 'fermented', 'fruity', 'floral', 'dairy', 'dried fruit', 'balsamic', 'bush flower', 'fatty', 'woody', 'sweet']"
C=CCc1ccc2c(c1)OCO2,['fresh']
CC(=O)OCC(COC(C)=O)OC(C)=O,"['chemical', 'solvent', 'fresh', 'dairy']"
NCCc1ccc(O)cc1,"['fermented', 'empyreumatic', 'dairy', 'smoked']"
NC(=O)CCC(N)C(=O)O,"['fatty', 'empyreumatic', 'malt', 'dairy', 'roasted']"
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,"['fermented', 'dairy']"
OCCc1ccccc1,"['honeyed', 'bush flower']"
CCCCCC=O,"['animal', 'fresh aldehydic', 'vegetal', 'green vegetal']"
CCCCCO,"['empyreumatic', 'floral', 'fermented drink', 'chemical', 'phenolic', 'alcoholic beverages', 'fatty', 'fresh', 'woody', 'medicinal']"
CCN,"['dairy', 'fermented']"
CCS,"['empyreumatic', 'vegetal', 'alliaceous', 'sulphur']"
CC(C)N,"['dairy', 'fermented']"
CC(C)S,"['vegetable', 'vegetal', 'sulphur']"
CC(C)(C)O,"['animal', 'vegetal', 'mint', 'chemical', 'phenolic', 'solvent', 'fresh', 'green vegetal', 'medicinal']"
CC(C)(C)S,['empyreumatic']
CCC(C)(C)O,"['animal', 'vegetal', 'mint', 'chemical', 'phenolic', 'fresh', 'green vegetal', 'medicinal']"
CC(C)(O)C(C)(C)O,"['vegetal', 'chemical', 'solvent', 'fresh', 'green vegetal', 'aromatic plant']"
CC(=O)OC1CC2CCC1(C)C2(C)C,"['wood', 'vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal', 'resinous', 'medicinal']"
CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,"['animal', 'wood', 'floral', 'vegetal', 'phenolic', 'green vegetal', 'resinous']"
CCC(C)(O)CC,"['vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'medicinal']"
CCOC(=O)C1OC1(C)c1ccccc1,"['honeyed', 'red berry']"
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,"['chemical', 'alcoholic beverages', 'fermented', 'floral', 'fermented drink']"
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,"['fermented', 'floral', 'fermented drink', 'chemical', 'alcoholic beverages', 'stone fruit']"
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,"['lemony', 'fresh', 'bush flower']"
CC1=CC(=O)CC(C)(C)C1,"['wood', 'animal', 'honeyed', 'green vegetal', 'aromatic plant', 'resinous', 'fermented', 'vegetal', 'chemical', 'phenolic', 'dry vegetal', 'fresh', 'medicinal']"
CCC(C)(O)CCCC(C)C,"['fruity', 'garden flower', 'lemony']"
C=CC(C)(O)CCC=C(C)C,"['fruity', 'vegetal', 'green vegetal', 'bush flower']"
CC(C)CN,"['dairy', 'fermented']"
CC(C)CO,"['animal', 'floral', 'fermented drink', 'chemical', 'solvent', 'fresh', 'alcoholic beverages']"
CC(C)C=O,"['fermented', 'empyreumatic', 'dairy', 'vegetal', 'cocoa', 'roasted', 'green vegetal', 'fatty', 'tropical fruit', 'malt', 'milky', 'sweet']"
CCC(C)O,"['floral', 'fermented drink', 'chemical', 'phenolic', 'alcoholic beverages', 'fatty', 'fresh', 'stone fruit', 'medicinal', 'lactone']"
CCC(C)=O,"['vegetal', 'mint', 'chemical', 'phenolic', 'fresh', 'green vegetal', 'medicinal']"
C=CC(C)=O,"['chemical', 'solvent', 'fresh', 'sulphur']"
COC(C)=O,"['fermented', 'floral', 'fermented drink', 'chemical', 'balsamic', 'fresh', 'alcoholic beverages', 'barrel aged alcohol', 'woody']"
CC(C)C(=O)O,"['fatty', 'fermented']"
C=C1C2CCC(C2)C1(C)C,"['wood', 'fruity', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'fatty', 'aromatic plant', 'resinous', 'medicinal']"
CC(=O)OC(C)(C)C1CCC(C)CC1,"['wood', 'lemony', 'vegetal', 'phenolic', 'resinous']"
CC1=CCC2CC1C2(C)C,"['wood', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'aromatic plant', 'resinous', 'medicinal']"
C=C(C)C(=O)OC,['fruit with pip']
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],"['animal', 'musky', 'fermented']"
CNc1ccccc1C(=O)OC,"['fermented', 'fermented drink', 'chemical', 'citrus', 'alcoholic beverages']"
CC(C)COC(=O)c1ccccc1O,"['green vegetal', 'fresh', 'vegetal']"
CC(C)CCOC(=O)c1ccccc1O,"['vegetal', 'spicy', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'metal', 'mineral', 'medicinal']"
CCOC(=O)c1ccccc1N,"['citrus', 'fruit with pip', 'green vegetal', 'fresh', 'vegetal']"
O=C1OCc2ccccc21,"['bitter almond', 'oleaginous', 'fruity', 'nutty', 'dried fruit', 'vegetal', 'floral', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'tropical fruit', 'woody']"
CCC(CC)C(=O)O,"['fermented', 'dried fruit', 'fatty', 'oleaginous']"
Cc1ccc(C(C)(C)C)c(O)c1,"['phenolic', 'empyreumatic', 'smoked']"
CC(C)c1ccccc1O,"['empyreumatic', 'chemical', 'fresh', 'smoked']"
CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,['floral']
CC(=O)c1ccc(C)cc1C,"['vegetal', 'balsamic', 'dry vegetal', 'fresh', 'green vegetal', 'aromatic plant', 'lactone']"
CC1=CC(=O)C(C(C)C)CC1,"['vegetal', 'chemical', 'phenolic', 'green vegetal', 'aromatic plant']"
Cc1ccc(C(C)C)c(O)c1,"['vegetal', 'mint', 'chemical', 'green vegetal', 'fresh']"
O=Cc1ccccc1O,"['fruity', 'nutty', 'dried fruit', 'sweet', 'chemical', 'bitter almond', 'fatty', 'woody', 'oleaginous']"
Cc1cccc2ccccc12,"['fermented', 'vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal', 'fresh']"
COc1cccc(OC)c1O,"['empyreumatic', 'floral', 'chemical', 'smoked']"
COc1ccccc1OC,"['oleaginous', 'fermented', 'fruity', 'dairy', 'dried fruit', 'balsamic', 'fatty', 'woody']"
c1ccc2ncccc2c1,"['fermented', 'vegetal', 'chemical', 'phenolic', 'dry vegetal']"
Cc1ccc2ccccc2c1,['fatty']
Sc1ccc2ccccc2c1,"['fermented', 'empyreumatic', 'musty', 'dairy', 'earthy', 'fatty']"
Cc1ccc2ncccc2c1,"['phenolic', 'dry vegetal', 'vegetal']"
Cc1ccc2oc(=O)ccc2c1,"['dairy', 'spicy', 'oleaginous', 'lactone', 'fruity', 'dried fruit', 'vegetal', 'balsamic', 'chemical', 'dry vegetal', 'fresh', 'phenolic', 'fatty', 'tropical fruit', 'woody', 'medicinal']"
c1ccc(-c2ccccc2)cc1,"['floral', 'vegetal', 'mineral', 'metal', 'green vegetal', 'fresh', 'bush flower', 'garden flower']"
COc1ccc2ccccc2c1,"['citrus', 'fruity']"
CC(=O)c1ccc2ccccc2c1,"['honeyed', 'citrus', 'fruity']"
C=CCc1ccc(OC)c(OC)c1,"['fermented', 'vegetal', 'chemical', 'dry vegetal', 'woody', 'medicinal']"
CCOc1ccc2ccccc2c1,"['citrus', 'fruit with pip']"
CC(C)Cc1ccc2ccccc2n1,"['phenolic', 'dry vegetal', 'vegetal']"
C=CCc1ccc(OC(C)=O)c(OC)c1,"['chemical', 'phenolic', 'medicinal']"
COc1cc(C)ccc1O,"['animal', 'empyreumatic', 'chemical', 'balsamic', 'smoked']"
CC(C=O)c1ccccc1,"['vegetal', 'honeyed', 'green vegetal', 'garden flower', 'sweet']"
CCC(O)c1ccccc1,"['bush flower', 'woody']"
CCC(=O)c1ccccc1,"['dry vegetal', 'bush flower', 'vegetal', 'red berry']"
COC(=O)c1ccccc1,"['nutty', 'dried fruit', 'bitter almond', 'fatty', 'oleaginous']"
COC(=O)c1cccnc1,"['vegetal', 'dry vegetal']"
CCOC(=O)c1ccccc1,"['fermented', 'red berry', 'vegetal', 'chemical', 'phenolic', 'fruit with pip', 'green vegetal', 'fresh', 'aromatic plant']"
CC(=O)CC(=O)c1ccccc1,"['bush flower', 'floral']"
O=C(Oc1ccccc1)c1ccccc1,"['vegetal', 'mineral', 'metal', 'green vegetal', 'fresh', 'woody', 'sweet']"
CCOC(=O)CC(=O)c1ccccc1,"['oleaginous', 'nutty', 'floral', 'red berry', 'dried fruit', 'bitter almond', 'bush flower', 'fatty']"
CCCOC(=O)c1ccc(O)cc1,"['phenolic', 'bush flower', 'empyreumatic', 'floral', 'smoked']"
CC(C)CCOC(=O)c1ccccc1,"['green vegetal', 'fresh', 'vegetal', 'woody']"
O=C(OCCc1ccccc1)c1ccccc1,"['honeyed', 'bush flower', 'woody', 'sweet']"
c1ccc2scnc2c1,"['empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'fatty', 'oleaginous']"
Cc1nc2ccccc2o1,"['empyreumatic', 'vegetal', 'balsamic', 'dry vegetal', 'woody']"
Cc1ccc(C)c(O)c1,"['empyreumatic', 'smoked']"
CCC(C)C=O,"['dairy', 'roasted', 'green vegetal', 'solvent', 'oleaginous', 'empyreumatic', 'dried fruit', 'vegetal', 'chemical', 'malt', 'milky', 'sweet', 'medicinal']"
CCC(=O)CC,"['fermented', 'empyreumatic', 'cooked', 'dairy', 'sweet', 'chemical', 'solvent', 'fresh', 'cooked sugar']"
O=C1CCCO1,"['oleaginous', 'empyreumatic', 'fruity', 'cooked', 'dairy', 'dried fruit', 'cooked sugar', 'sweet']"
Cn1cccc1,"['phenolic', 'empyreumatic', 'smoked']"
C=C(C)C1CC=C(C)C(OC(C)=O)C1,"['vegetal', 'balsamic', 'chemical', 'fruit with pip', 'green vegetal', 'fresh', 'aromatic plant', 'alcoholic beverages', 'barrel aged alcohol', 'woody']"
CCOC(=O)C(C)C,"['chemical', 'balsamic', 'solvent', 'fresh', 'fruit with pip', 'alcoholic beverages', 'phenolic', 'barrel aged alcohol', 'woody', 'medicinal']"
CCOC(=O)C(C)O,"['dairy', 'chemical', 'balsamic', 'solvent', 'fresh', 'fatty', 'alcoholic beverages', 'barrel aged alcohol', 'woody']"
CC(C)COC(=O)C(C)C,"['fermented', 'floral', 'fermented drink', 'chemical', 'solvent', 'fresh', 'alcoholic beverages', 'fruit with pip', 'tropical fruit']"
CCCCOC(=O)C(C)C,"['fermented', 'dairy', 'vegetal', 'green vegetal', 'fresh', 'fruit with pip', 'tropical fruit', 'peponide']"
CCC(CC)CO,"['chemical', 'phenolic', 'fatty', 'fresh', 'medicinal']"
CCC(C=O)CC,"['empyreumatic', 'cooked', 'vegetal', 'roasted', 'chemical', 'solvent', 'green vegetal', 'malt', 'cooked sugar']"
OCC1CCCO1,"['empyreumatic', 'cooked', 'vegetal', 'chemical', 'fatty', 'fresh', 'cooked sugar', 'sweet']"
O=Cc1ccco1,"['oleaginous', 'empyreumatic', 'fruity', 'nutty', 'cooked', 'dried fruit', 'bitter almond', 'fatty', 'cooked sugar']"
SCc1ccco1,"['vegetable', 'empyreumatic', 'cooked', 'vegetal', 'phenolic', 'sulphur', 'smoked', 'cooked sugar', 'sweet']"
O=Cc1cccs1,"['oleaginous', 'lactone', 'fruity', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'tropical fruit', 'woody', 'sweet']"
CC(C)(C)C1CCC(O)CC1,"['animal', 'fermented', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'medicinal']"
CC(C)(C)C1CCC(=O)CC1,"['animal', 'musky', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'fresh', 'aromatic plant', 'medicinal']"
CC(C)(C)c1ccc(O)cc1,"['animal', 'empyreumatic', 'smoked']"
CC(O)c1ccccc1,"['honeyed', 'bitter almond', 'green vegetal', 'bush flower', 'oleaginous', 'fruity', 'nutty', 'red berry', 'vegetal', 'mint', 'dried fruit', 'chemical', 'phenolic', 'fatty', 'garden flower']"
CC(=O)c1ccccc1,"['bitter almond', 'bush flower', 'oleaginous', 'lactone', 'fruity', 'vegetal', 'red berry', 'dried fruit', 'balsamic', 'dry vegetal', 'fresh', 'fatty', 'woody']"
O=C(O)C1CCCCC1,"['metal', 'fermented', 'dairy', 'mineral']"
C=C(C)C1CC=C(C)C(O)C1,"['vegetal', 'chemical', 'green vegetal', 'fresh', 'aromatic plant']"
COC(=O)c1ccc(C)cc1,['fresh']
CC1=CCC(C(C)C)C=C1,"['fruity', 'vegetal', 'chemical', 'phenolic', 'green vegetal', 'aromatic plant']"
CC1=CCC(C(C)C)=CC1,"['fruity', 'lemony', 'fatty']"
CC1=CC=C(C(C)C)CC1,"['fruity', 'lemony', 'vegetal', 'mint', 'chemical', 'phenolic', 'green vegetal']"
Cc1ccc(C(C)C)cc1,['fruity']
CC(C)c1ccc(O)cc1,['chemical']
CC(=O)c1ccc(O)cc1,"['dry vegetal', 'bush flower', 'vegetal']"
COc1ccc(C(C)=O)cc1,"['fruity', 'red berry', 'vegetal', 'dry vegetal', 'bush flower', 'fresh', 'woody']"
COc1ccc(C(=O)O)cc1,"['fruity', 'red berry', 'balsamic', 'chemical', 'woody']"
C=Cc1ccccc1,"['sulphur', 'woody']"
SCc1ccccc1,"['sulphur', 'empyreumatic', 'cruciferous', 'vegetal', 'green vegetal', 'fresh', 'aromatic plant', 'root', 'earthy']"
COc1ccccc1,"['chemical', 'solvent', 'fresh']"
CSc1ccccc1,"['chemical', 'fresh', 'empyreumatic']"
CCc1ccccn1,"['empyreumatic', 'fresh aldehydic', 'vegetal', 'aldehydic', 'phenolic', 'green vegetal', 'fresh', 'fatty', 'smoked']"
COc1cccc(C)c1,"['fatty', 'fruity', 'dried fruit', 'oleaginous']"
CC(C)(O)Cc1ccccc1,"['vegetal', 'green vegetal', 'fatty', 'garden flower', 'bush flower']"
COC(=O)Cc1ccccc1,"['oleaginous', 'nutty', 'dried fruit', 'honeyed', 'bitter almond', 'fatty']"
c1ccc(CC2OCCO2)cc1,"['floral', 'vegetal', 'honeyed', 'green vegetal', 'fresh', 'garden flower']"
c1ccc(Cc2ccccc2)cc1,"['fruity', 'floral', 'vegetal', 'citrus', 'metal', 'mineral', 'green vegetal', 'fresh', 'bush flower', 'garden flower']"
c1ccc(Oc2ccccc2)cc1,"['vegetal', 'mineral', 'metal', 'green vegetal', 'fresh', 'garden flower']"
CCOC(=O)Cc1ccccc1,"['empyreumatic', 'dairy', 'roasted', 'honeyed', 'bush flower', 'fresh', 'malt', 'milky', 'woody']"
O=C(Cc1ccccc1)Cc1ccccc1,"['oleaginous', 'nutty', 'red berry', 'dried fruit', 'honeyed', 'bitter almond', 'bush flower', 'fatty']"
COc1ccc(COC(=O)Cc2ccccc2)cc1,"['honeyed', 'bush flower', 'fresh', 'floral', 'sweet']"
CC(C)CCOC(=O)Cc1ccccc1,"['empyreumatic', 'dairy', 'roasted', 'honeyed', 'bush flower', 'malt', 'milky', 'woody']"
O=C(Cc1ccccc1)OCCc1ccccc1,"['vegetal', 'spicy', 'honeyed', 'chemical', 'phenolic', 'bush flower', 'green vegetal', 'fresh', 'woody', 'medicinal']"
CCCN(CCC)CCC,"['dairy', 'fermented']"
CC(C)(O)CCc1ccccc1,"['vegetal', 'green vegetal', 'bush flower', 'garden flower']"
CC(=O)OC(C)(C)CCc1ccccc1,"['vegetal', 'green vegetal', 'bush flower', 'woody']"
CCCCC(CC)COC(C)=O,['red berry']
COC(=O)CCc1ccccc1,"['fermented', 'fermented drink', 'honeyed', 'chemical', 'phenolic', 'alcoholic beverages', 'woody', 'medicinal']"
CC(C)C(=O)OCc1ccccc1,"['fatty', 'bush flower']"
CCCC(=O)OCc1ccccc1,"['fruit with pip', 'tropical fruit', 'stone fruit', 'lactone']"
CC(C)CC(=O)OCc1ccccc1,"['fermented', 'floral', 'vegetal', 'dairy', 'dry vegetal', 'fruit with pip', 'tropical fruit']"
CC(=O)OCCc1ccccc1,"['empyreumatic', 'roasted', 'honeyed', 'bush flower', 'malt', 'woody']"
CC(C)C(=O)OCCc1ccccc1,"['vegetal', 'honeyed', 'dry vegetal', 'bush flower', 'stone fruit', 'sweet', 'lactone']"
c1ccc(COCc2ccccc2)cc1,"['fermented', 'musty', 'nutty', 'floral', 'red berry', 'dried fruit', 'bitter almond', 'bush flower', 'fatty', 'woody', 'oleaginous']"
CCCC(=O)OCCc1ccccc1,"['fermented', 'vegetal', 'red berry', 'green vegetal', 'fresh', 'bush flower']"
CC(C)C(=O)OCCCc1ccccc1,"['honeyed', 'stone fruit', 'woody', 'lactone']"
Cc1ccc(OC(=O)C(C)C)cc1,"['green vegetal', 'fresh', 'garden flower', 'vegetal']"
COc1ccc(COC(C)=O)cc1,"['vegetal', 'red berry', 'dry vegetal', 'fresh', 'stone fruit', 'woody', 'lactone']"
CCCc1ccc(OC)cc1,['fresh']
CCCCC1CCC(=O)O1,"['bitter almond', 'green vegetal', 'oleaginous', 'lactone', 'fruity', 'nutty', 'dried fruit', 'vegetal', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody']"
O=CCCc1ccccc1,"['fruity', 'vegetal', 'green vegetal', 'fatty', 'garden flower', 'woody', 'peponide', 'sweet']"
O=COCc1ccccc1,"['nutty', 'dried fruit', 'red berry', 'vegetal', 'sweet', 'bitter almond', 'dry vegetal', 'fatty', 'oleaginous']"
O=COCCc1ccccc1,"['vegetal', 'green vegetal', 'fresh', 'bush flower', 'garden flower']"
CCCCC(CC)CO,"['fatty', 'bush flower', 'fruity']"
Cc1ccc(C=O)cc1,"['nutty', 'dried fruit', 'red berry', 'bitter almond', 'fatty', 'oleaginous']"
CCc1ccc(C)nc1,"['vegetable', 'empyreumatic', 'fruity', 'dried fruit', 'vegetal', 'green vegetal', 'fresh', 'oleaginous']"
COc1ccc(C)cc1,"['animal', 'fruity', 'vegetal', 'dried fruit', 'green vegetal', 'fresh', 'fatty', 'oleaginous']"
CC(C)COC(=O)CCc1ccco1,"['fermented', 'fermented drink', 'chemical', 'balsamic', 'alcoholic beverages', 'tropical fruit', 'barrel aged alcohol', 'sweet']"
COc1ccc(CO)cc1,"['vegetal', 'red berry', 'dairy', 'dry vegetal', 'fresh', 'bush flower', 'garden flower', 'woody']"
CCCC1CCC(=O)O1,"['cooked', 'dairy', 'cooked sugar', 'oleaginous', 'empyreumatic', 'floral', 'vegetal', 'dried fruit', 'balsamic', 'dry vegetal', 'fresh', 'tropical fruit', 'woody']"
CCOC(=O)CC,"['floral', 'fermented drink', 'chemical', 'balsamic', 'solvent', 'fresh', 'alcoholic beverages', 'fruit with pip', 'tropical fruit', 'barrel aged alcohol', 'woody']"
CCC(C)CC(=O)O,"['green vegetal', 'fresh', 'fermented', 'dairy', 'vegetal']"
COC(=O)CC(C)=O,"['fermented', 'floral', 'vegetal', 'fermented drink', 'chemical', 'green vegetal', 'alcoholic beverages', 'fruit with pip', 'sweet']"
CCC(C)OC(C)=O,"['chemical', 'fresh', 'fruit with pip', 'tropical fruit']"
CCOC(=O)CC(=O)OCC,"['fruit with pip', 'green vegetal', 'fresh', 'vegetal']"
CCCC(=O)OCC,"['dairy', 'chemical', 'balsamic', 'solvent', 'fresh', 'alcoholic beverages', 'fatty', 'tropical fruit', 'barrel aged alcohol', 'woody', 'sweet']"
CCOC(C)OCC,"['dried fruit', 'vegetal', 'chemical', 'phenolic', 'solvent', 'fresh', 'green vegetal', 'fatty', 'oleaginous', 'medicinal']"
CCCOC(=O)CCC,"['animal', 'chemical', 'solvent', 'fresh', 'tropical fruit', 'stone fruit', 'lactone']"
Cc1ccc(O)c(C)c1,"['empyreumatic', 'smoked']"
CCC(=O)OCCC(C)C,"['vegetal', 'green vegetal', 'fruit with pip', 'tropical fruit', 'stone fruit', 'lactone']"
CCCCCC(=O)OCC(C)C,"['fermented', 'floral', 'vegetal', 'fermented drink', 'chemical', 'green vegetal', 'alcoholic beverages', 'fresh', 'fruit with pip', 'tropical fruit', 'stone fruit', 'lactone']"
CC(C)=CCCC(C)CCOC=O,"['vegetable', 'fresh aldehydic', 'vegetal', 'lemony', 'aldehydic', 'green vegetal', 'fresh', 'fatty', 'bush flower', 'cucurbitacea', 'stone fruit', 'lactone']"
